quality_profile_id,quality_id,weight,status,enabled
QUALITY_DROP_T1_V1,QUALITY_COMMON,80,TUNABLE,TRUE
QUALITY_DROP_T1_V1,QUALITY_FINE,18,TUNABLE,TRUE
QUALITY_DROP_T1_V1,QUALITY_RARE,2,TUNABLE,TRUE
QUALITY_DROP_T2_V1,QUALITY_COMMON,65,TUNABLE,TRUE
QUALITY_DROP_T2_V1,QUALITY_FINE,28,TUNABLE,TRUE
QUALITY_DROP_T2_V1,QUALITY_RARE,7,TUNABLE,TRUE
QUALITY_DROP_T3_V1,QUALITY_COMMON,45,TUNABLE,TRUE
QUALITY_DROP_T3_V1,QUALITY_FINE,38,TUNABLE,TRUE
QUALITY_DROP_T3_V1,QUALITY_RARE,15,TUNABLE,TRUE
QUALITY_DROP_T3_V1,QUALITY_LEGACY,2,TUNABLE,TRUE
QUALITY_DROP_T4_V1,QUALITY_COMMON,25,TUNABLE,TRUE
QUALITY_DROP_T4_V1,QUALITY_FINE,40,TUNABLE,TRUE
QUALITY_DROP_T4_V1,QUALITY_RARE,27,TUNABLE,TRUE
QUALITY_DROP_T4_V1,QUALITY_LEGACY,7,TUNABLE,TRUE
QUALITY_DROP_T4_V1,QUALITY_RELIC,1,TUNABLE,TRUE
QUALITY_DROP_T5_V1,QUALITY_COMMON,10,TUNABLE,TRUE
QUALITY_DROP_T5_V1,QUALITY_FINE,30,TUNABLE,TRUE
QUALITY_DROP_T5_V1,QUALITY_RARE,38,TUNABLE,TRUE
QUALITY_DROP_T5_V1,QUALITY_LEGACY,18,TUNABLE,TRUE
QUALITY_DROP_T5_V1,QUALITY_RELIC,4,TUNABLE,TRUE
