equipment_template_id,name_text_key,tier,slot,profile,base_power,source,boss_id,status,enabled
EQ_T1_WARRIOR_WEAPON,TXT_EQ_T1_WARRIOR_WEAPON_NAME,1,WEAPON,SWORD,100,CRAFT,,TUNABLE,TRUE
EQ_T1_GUARDIAN_WEAPON,TXT_EQ_T1_GUARDIAN_WEAPON_NAME,1,WEAPON,HAMMER_SHIELD,100,CRAFT,,TUNABLE,TRUE
EQ_T1_ARCHER_WEAPON,TXT_EQ_T1_ARCHER_WEAPON_NAME,1,WEAPON,BOW,100,CRAFT,,TUNABLE,TRUE
EQ_T1_MAGE_WEAPON,TXT_EQ_T1_MAGE_WEAPON_NAME,1,WEAPON,STAFF,100,CRAFT,,TUNABLE,TRUE
EQ_T1_CLERIC_WEAPON,TXT_EQ_T1_CLERIC_WEAPON_NAME,1,WEAPON,MACE,100,CRAFT,,TUNABLE,TRUE
EQ_T1_HEAVY_ARMOR,TXT_EQ_T1_HEAVY_ARMOR_NAME,1,ARMOR,HEAVY,90,CRAFT,,TUNABLE,TRUE
EQ_T1_HEAVY_HELMET,TXT_EQ_T1_HEAVY_HELMET_NAME,1,HELMET,HEAVY,55,CRAFT,,TUNABLE,TRUE
EQ_T1_LIGHT_ARMOR,TXT_EQ_T1_LIGHT_ARMOR_NAME,1,ARMOR,LIGHT,90,CRAFT,,TUNABLE,TRUE
EQ_T1_LIGHT_HELMET,TXT_EQ_T1_LIGHT_HELMET_NAME,1,HELMET,LIGHT,55,CRAFT,,TUNABLE,TRUE
EQ_T1_CLOTH_ARMOR,TXT_EQ_T1_CLOTH_ARMOR_NAME,1,ARMOR,CLOTH,90,CRAFT,,TUNABLE,TRUE
EQ_T1_CLOTH_HELMET,TXT_EQ_T1_CLOTH_HELMET_NAME,1,HELMET,CLOTH,55,CRAFT,,TUNABLE,TRUE
EQ_T1_POWER_ACCESSORY,TXT_EQ_T1_POWER_ACCESSORY_NAME,1,ACCESSORY,POWER,45,CRAFT,,TUNABLE,TRUE
EQ_T1_GUARD_ACCESSORY,TXT_EQ_T1_GUARD_ACCESSORY_NAME,1,ACCESSORY,GUARD,45,CRAFT,,TUNABLE,TRUE
EQ_T1_WISDOM_ACCESSORY,TXT_EQ_T1_WISDOM_ACCESSORY_NAME,1,ACCESSORY,WISDOM,45,CRAFT,,TUNABLE,TRUE
EQ_T2_WARRIOR_WEAPON,TXT_EQ_T2_WARRIOR_WEAPON_NAME,2,WEAPON,SWORD,180,CRAFT,,TUNABLE,TRUE
EQ_T2_GUARDIAN_WEAPON,TXT_EQ_T2_GUARDIAN_WEAPON_NAME,2,WEAPON,HAMMER_SHIELD,180,CRAFT,,TUNABLE,TRUE
EQ_T2_ARCHER_WEAPON,TXT_EQ_T2_ARCHER_WEAPON_NAME,2,WEAPON,BOW,180,CRAFT,,TUNABLE,TRUE
