facility_id,level,required_kingdom_stage_id,build_or_upgrade_kingdom_gold,effect_key,effect_text_key,status,enabled
FAC_TAVERN,1,KINGDOM_1,0,FAC_EFFECT_TAVERN_L1,TXT_FAC_TAVERN_L1_EFFECT,TUNABLE,TRUE
FAC_TAVERN,2,KINGDOM_2,2500,FAC_EFFECT_TAVERN_L2,TXT_FAC_TAVERN_L2_EFFECT,TUNABLE,TRUE
FAC_TAVERN,3,KINGDOM_3,12000,FAC_EFFECT_TAVERN_L3,TXT_FAC_TAVERN_L3_EFFECT,TUNABLE,TRUE
FAC_TAVERN,4,KINGDOM_4,45000,FAC_EFFECT_TAVERN_L4,TXT_FAC_TAVERN_L4_EFFECT,TUNABLE,TRUE
FAC_LODGE,1,KINGDOM_1,0,FAC_EFFECT_LODGE_L1,TXT_FAC_LODGE_L1_EFFECT,TUNABLE,TRUE
FAC_LODGE,2,KINGDOM_2,3000,FAC_EFFECT_LODGE_L2,TXT_FAC_LODGE_L2_EFFECT,TUNABLE,TRUE
FAC_LODGE,3,KINGDOM_3,15000,FAC_EFFECT_LODGE_L3,TXT_FAC_LODGE_L3_EFFECT,TUNABLE,TRUE
FAC_LODGE,4,KINGDOM_4,60000,FAC_EFFECT_LODGE_L4,TXT_FAC_LODGE_L4_EFFECT,TUNABLE,TRUE
FAC_GUILD,1,KINGDOM_1,0,FAC_EFFECT_GUILD_L1,TXT_FAC_GUILD_L1_EFFECT,TUNABLE,TRUE
FAC_GUILD,2,KINGDOM_2,4000,FAC_EFFECT_GUILD_L2,TXT_FAC_GUILD_L2_EFFECT,TUNABLE,TRUE
FAC_GUILD,3,KINGDOM_3,18000,FAC_EFFECT_GUILD_L3,TXT_FAC_GUILD_L3_EFFECT,TUNABLE,TRUE
FAC_GUILD,4,KINGDOM_4,70000,FAC_EFFECT_GUILD_L4,TXT_FAC_GUILD_L4_EFFECT,TUNABLE,TRUE
FAC_STORE,1,KINGDOM_1,500,FAC_EFFECT_STORE_L1,TXT_FAC_STORE_L1_EFFECT,TUNABLE,TRUE
FAC_STORE,2,KINGDOM_2,3500,FAC_EFFECT_STORE_L2,TXT_FAC_STORE_L2_EFFECT,TUNABLE,TRUE
FAC_STORE,3,KINGDOM_3,16000,FAC_EFFECT_STORE_L3,TXT_FAC_STORE_L3_EFFECT,TUNABLE,TRUE
FAC_STORE,4,KINGDOM_4,65000,FAC_EFFECT_STORE_L4,TXT_FAC_STORE_L4_EFFECT,TUNABLE,TRUE
FAC_BLACKSMITH,1,KINGDOM_1,800,FAC_EFFECT_BLACKSMITH_L1,TXT_FAC_BLACKSMITH_L1_EFFECT,TUNABLE,TRUE
FAC_BLACKSMITH,2,KINGDOM_2,5000,FAC_EFFECT_BLACKSMITH_L2,TXT_FAC_BLACKSMITH_L2_EFFECT,TUNABLE,TRUE
FAC_BLACKSMITH,3,KINGDOM_3,24000,FAC_EFFECT_BLACKSMITH_L3,TXT_FAC_BLACKSMITH_L3_EFFECT,TUNABLE,TRUE
FAC_BLACKSMITH,4,KINGDOM_4,85000,FAC_EFFECT_BLACKSMITH_L4,TXT_FAC_BLACKSMITH_L4_EFFECT,TUNABLE,TRUE
FAC_ALCHEMY,1,KINGDOM_1,1000,FAC_EFFECT_ALCHEMY_L1,TXT_FAC_ALCHEMY_L1_EFFECT,TUNABLE,TRUE
FAC_ALCHEMY,2,KINGDOM_2,6000,FAC_EFFECT_ALCHEMY_L2,TXT_FAC_ALCHEMY_L2_EFFECT,TUNABLE,TRUE
FAC_ALCHEMY,3,KINGDOM_3,28000,FAC_EFFECT_ALCHEMY_L3,TXT_FAC_ALCHEMY_L3_EFFECT,TUNABLE,TRUE
FAC_ALCHEMY,4,KINGDOM_4,90000,FAC_EFFECT_ALCHEMY_L4,TXT_FAC_ALCHEMY_L4_EFFECT,TUNABLE,TRUE
FAC_WAREHOUSE,1,KINGDOM_1,700,FAC_EFFECT_WAREHOUSE_L1,TXT_FAC_WAREHOUSE_L1_EFFECT,TUNABLE,TRUE
FAC_WAREHOUSE,2,KINGDOM_2,4000,FAC_EFFECT_WAREHOUSE_L2,TXT_FAC_WAREHOUSE_L2_EFFECT,TUNABLE,TRUE
FAC_WAREHOUSE,3,KINGDOM_3,19000,FAC_EFFECT_WAREHOUSE_L3,TXT_FAC_WAREHOUSE_L3_EFFECT,TUNABLE,TRUE
FAC_WAREHOUSE,4,KINGDOM_4,75000,FAC_EFFECT_WAREHOUSE_L4,TXT_FAC_WAREHOUSE_L4_EFFECT,TUNABLE,TRUE
FAC_INFIRMARY,1,KINGDOM_1,1000,FAC_EFFECT_INFIRMARY_L1,TXT_FAC_INFIRMARY_L1_EFFECT,TUNABLE,TRUE
FAC_INFIRMARY,2,KINGDOM_2,5500,FAC_EFFECT_INFIRMARY_L2,TXT_FAC_INFIRMARY_L2_EFFECT,TUNABLE,TRUE
FAC_INFIRMARY,3,KINGDOM_3,26000,FAC_EFFECT_INFIRMARY_L3,TXT_FAC_INFIRMARY_L3_EFFECT,TUNABLE,TRUE
FAC_INFIRMARY,4,KINGDOM_4,82000,FAC_EFFECT_INFIRMARY_L4,TXT_FAC_INFIRMARY_L4_EFFECT,TUNABLE,TRUE
