facility_id,level,item_id,quantity,status,enabled
FAC_TAVERN,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_TAVERN,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_TAVERN,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_TAVERN,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_TAVERN,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_LODGE,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_LODGE,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_LODGE,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_LODGE,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_LODGE,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_GUILD,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_GUILD,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_GUILD,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_GUILD,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_GUILD,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_STORE,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_STORE,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_STORE,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_STORE,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_STORE,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_BLACKSMITH,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_BLACKSMITH,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_BLACKSMITH,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_BLACKSMITH,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_BLACKSMITH,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_ALCHEMY,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_ALCHEMY,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_ALCHEMY,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_ALCHEMY,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_ALCHEMY,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_WAREHOUSE,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_WAREHOUSE,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_WAREHOUSE,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_WAREHOUSE,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_WAREHOUSE,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
FAC_INFIRMARY,2,MAT_R02_DARKWOOD,10,TUNABLE,TRUE
FAC_INFIRMARY,3,MAT_R03_COAL,8,TUNABLE,TRUE
FAC_INFIRMARY,3,MAT_R03_IRON_ORE,15,TUNABLE,TRUE
FAC_INFIRMARY,4,MAT_R04_BOG_CRYSTAL,12,TUNABLE,TRUE
FAC_INFIRMARY,4,MAT_R04_TROLL_HIDE,8,TUNABLE,TRUE
