item_id,name_text_key,category,tier,source_type,source_id,sell_price,rarity,stack_limit,status,enabled
MAT_R01_SOFTWOOD,TXT_MAT_R01_SOFTWOOD_NAME,CRAFT,1,REGION,REGION_R01,6,COMMON,9999,TUNABLE,TRUE
MAT_R01_WILD_HERB,TXT_MAT_R01_WILD_HERB_NAME,ALCHEMY,1,REGION,REGION_R01,5,COMMON,9999,TUNABLE,TRUE
MAT_R01_SLIME_GEL,TXT_MAT_R01_SLIME_GEL_NAME,ALCHEMY,1,REGION,REGION_R01,8,COMMON,9999,TUNABLE,TRUE
MAT_R01_WOLF_FANG,TXT_MAT_R01_WOLF_FANG_NAME,MONSTER,1,REGION,REGION_R01,12,COMMON,9999,TUNABLE,TRUE
MAT_R01_BOAR_HIDE,TXT_MAT_R01_BOAR_HIDE_NAME,CRAFT,1,REGION,REGION_R01,10,COMMON,9999,TUNABLE,TRUE
MAT_R01_MEADOW_CRYSTAL,TXT_MAT_R01_MEADOW_CRYSTAL_NAME,MAGIC,1,REGION,REGION_R01,18,COMMON,9999,TUNABLE,TRUE
MAT_R02_DARKWOOD,TXT_MAT_R02_DARKWOOD_NAME,CRAFT,2,REGION,REGION_R02,18,COMMON,9999,TUNABLE,TRUE
MAT_R02_MOONLEAF,TXT_MAT_R02_MOONLEAF_NAME,ALCHEMY,2,REGION,REGION_R02,16,COMMON,9999,TUNABLE,TRUE
MAT_R02_SPIDER_SILK,TXT_MAT_R02_SPIDER_SILK_NAME,CRAFT,2,REGION,REGION_R02,22,COMMON,9999,TUNABLE,TRUE
MAT_R02_VENOM_SAC,TXT_MAT_R02_VENOM_SAC_NAME,MONSTER,2,REGION,REGION_R02,28,COMMON,9999,TUNABLE,TRUE
MAT_R02_FOREST_CORE,TXT_MAT_R02_FOREST_CORE_NAME,MAGIC,2,REGION,REGION_R02,35,COMMON,9999,TUNABLE,TRUE
MAT_R02_OGRE_BONE,TXT_MAT_R02_OGRE_BONE_NAME,MONSTER,2,REGION,REGION_R02,40,COMMON,9999,TUNABLE,TRUE
MAT_R03_IRON_ORE,TXT_MAT_R03_IRON_ORE_NAME,ORE,3,REGION,REGION_R03,32,COMMON,9999,TUNABLE,TRUE
MAT_R03_SILVER_ORE,TXT_MAT_R03_SILVER_ORE_NAME,ORE,3,REGION,REGION_R03,48,COMMON,9999,TUNABLE,TRUE
MAT_R03_COAL,TXT_MAT_R03_COAL_NAME,CRAFT,3,REGION,REGION_R03,24,COMMON,9999,TUNABLE,TRUE
MAT_R03_BAT_WING,TXT_MAT_R03_BAT_WING_NAME,MONSTER,3,REGION,REGION_R03,35,COMMON,9999,TUNABLE,TRUE
MAT_R03_GOLEM_FRAGMENT,TXT_MAT_R03_GOLEM_FRAGMENT_NAME,MONSTER,3,REGION,REGION_R03,55,COMMON,9999,TUNABLE,TRUE
MAT_R03_ANCIENT_GEAR,TXT_MAT_R03_ANCIENT_GEAR_NAME,RELIC,3,REGION,REGION_R03,70,RARE,9999,TUNABLE,TRUE
MAT_R04_SWAMP_REED,TXT_MAT_R04_SWAMP_REED_NAME,ALCHEMY,4,REGION,REGION_R04,55,COMMON,9999,TUNABLE,TRUE
MAT_R04_TOXIC_GLAND,TXT_MAT_R04_TOXIC_GLAND_NAME,MONSTER,4,REGION,REGION_R04,72,RARE,9999,TUNABLE,TRUE
MAT_R04_MIASMA_MOSS,TXT_MAT_R04_MIASMA_MOSS_NAME,ALCHEMY,4,REGION,REGION_R04,64,COMMON,9999,TUNABLE,TRUE
MAT_R04_WITCHWATER,TXT_MAT_R04_WITCHWATER_NAME,MAGIC,4,REGION,REGION_R04,88,RARE,9999,TUNABLE,TRUE
