loot_table_id,entry_no,reward_type,reward_id,probability,weight,min_quantity,max_quantity,condition_id,status,enabled
LOOT_R01_1,1,ITEM,MAT_R01_SOFTWOOD,0.75,,1,2,,TUNABLE,TRUE
LOOT_R01_1,2,ITEM,MAT_R01_SLIME_GEL,0.22,,1,1,,TUNABLE,TRUE
LOOT_R01_1,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T1_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R01_2,1,ITEM,MAT_R01_WILD_HERB,0.75,,1,2,,TUNABLE,TRUE
LOOT_R01_2,2,ITEM,MAT_R01_WOLF_FANG,0.22,,1,1,,TUNABLE,TRUE
LOOT_R01_2,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T1_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R01_3,1,ITEM,MAT_R01_SLIME_GEL,0.75,,1,2,,TUNABLE,TRUE
LOOT_R01_3,2,ITEM,MAT_R01_BOAR_HIDE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R01_3,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T1_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R01_4,1,ITEM,MAT_R01_WOLF_FANG,0.75,,1,2,,TUNABLE,TRUE
LOOT_R01_4,2,ITEM,MAT_R01_MEADOW_CRYSTAL,0.22,,1,1,,TUNABLE,TRUE
LOOT_R01_4,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T1_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R01_ELITE,1,ITEM,MAT_R01_BOAR_HIDE,1.0,,2,4,,TUNABLE,TRUE
LOOT_R01_ELITE,2,ITEM,MAT_R01_MEADOW_CRYSTAL,0.65,,1,2,,TUNABLE,TRUE
LOOT_R01_ELITE,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T1_ANY,0.18,,1,1,,TUNABLE,TRUE
LOOT_R01_ELITE,4,ITEM,MAT_PROMO_BRONZE_EMBLEM,0.2,,1,1,,TUNABLE,TRUE
LOOT_R02_1,1,ITEM,MAT_R02_DARKWOOD,0.75,,1,2,,TUNABLE,TRUE
LOOT_R02_1,2,ITEM,MAT_R02_SPIDER_SILK,0.22,,1,1,,TUNABLE,TRUE
LOOT_R02_1,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T2_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R02_2,1,ITEM,MAT_R02_MOONLEAF,0.75,,1,2,,TUNABLE,TRUE
LOOT_R02_2,2,ITEM,MAT_R02_VENOM_SAC,0.22,,1,1,,TUNABLE,TRUE
LOOT_R02_2,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T2_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R02_3,1,ITEM,MAT_R02_SPIDER_SILK,0.75,,1,2,,TUNABLE,TRUE
LOOT_R02_3,2,ITEM,MAT_R02_FOREST_CORE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R02_3,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T2_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R02_4,1,ITEM,MAT_R02_VENOM_SAC,0.75,,1,2,,TUNABLE,TRUE
LOOT_R02_4,2,ITEM,MAT_R02_OGRE_BONE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R02_4,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T2_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R02_ELITE,1,ITEM,MAT_R02_FOREST_CORE,1.0,,2,4,,TUNABLE,TRUE
LOOT_R02_ELITE,2,ITEM,MAT_R02_OGRE_BONE,0.65,,1,2,,TUNABLE,TRUE
LOOT_R02_ELITE,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T2_ANY,0.18,,1,1,,TUNABLE,TRUE
LOOT_R02_ELITE,4,ITEM,MAT_PROMO_SILVER_BADGE,0.2,,1,1,,TUNABLE,TRUE
LOOT_R03_1,1,ITEM,MAT_R03_IRON_ORE,0.75,,1,2,,TUNABLE,TRUE
LOOT_R03_1,2,ITEM,MAT_R03_COAL,0.22,,1,1,,TUNABLE,TRUE
LOOT_R03_1,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T3_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R03_2,1,ITEM,MAT_R03_SILVER_ORE,0.75,,1,2,,TUNABLE,TRUE
LOOT_R03_2,2,ITEM,MAT_R03_BAT_WING,0.22,,1,1,,TUNABLE,TRUE
LOOT_R03_2,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T3_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R03_3,1,ITEM,MAT_R03_COAL,0.75,,1,2,,TUNABLE,TRUE
LOOT_R03_3,2,ITEM,MAT_R03_GOLEM_FRAGMENT,0.22,,1,1,,TUNABLE,TRUE
LOOT_R03_3,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T3_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R03_4,1,ITEM,MAT_R03_BAT_WING,0.75,,1,2,,TUNABLE,TRUE
LOOT_R03_4,2,ITEM,MAT_R03_ANCIENT_GEAR,0.22,,1,1,,TUNABLE,TRUE
LOOT_R03_4,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T3_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R03_ELITE,1,ITEM,MAT_R03_GOLEM_FRAGMENT,1.0,,2,4,,TUNABLE,TRUE
LOOT_R03_ELITE,2,ITEM,MAT_R03_ANCIENT_GEAR,0.65,,1,2,,TUNABLE,TRUE
LOOT_R03_ELITE,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T3_ANY,0.18,,1,1,,TUNABLE,TRUE
LOOT_R03_ELITE,4,ITEM,MAT_PROMO_ELITE_SIGIL,0.2,,1,1,,TUNABLE,TRUE
LOOT_R04_1,1,ITEM,MAT_R04_SWAMP_REED,0.75,,1,2,,TUNABLE,TRUE
LOOT_R04_1,2,ITEM,MAT_R04_MIASMA_MOSS,0.22,,1,1,,TUNABLE,TRUE
LOOT_R04_1,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T4_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R04_2,1,ITEM,MAT_R04_TOXIC_GLAND,0.75,,1,2,,TUNABLE,TRUE
LOOT_R04_2,2,ITEM,MAT_R04_WITCHWATER,0.22,,1,1,,TUNABLE,TRUE
LOOT_R04_2,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T4_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R04_3,1,ITEM,MAT_R04_MIASMA_MOSS,0.75,,1,2,,TUNABLE,TRUE
LOOT_R04_3,2,ITEM,MAT_R04_BOG_CRYSTAL,0.22,,1,1,,TUNABLE,TRUE
LOOT_R04_3,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T4_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R04_4,1,ITEM,MAT_R04_WITCHWATER,0.75,,1,2,,TUNABLE,TRUE
LOOT_R04_4,2,ITEM,MAT_R04_TROLL_HIDE,0.22,,1,1,,TUNABLE,TRUE
LOOT_R04_4,3,RANDOM_EQUIPMENT_TIER,RANDOM_EQ_T4_ANY,0.025,,1,1,,TUNABLE,TRUE
LOOT_R04_ELITE,1,ITEM,MAT_R04_BOG_CRYSTAL,1.0,,2,4,,TUNABLE,TRUE
LOOT_R04_ELITE,2,ITEM,MAT_R04_TROLL_HIDE,0.65,,1,2,,TUNABLE,TRUE
