loot_table_id,draw_mode,draw_count,status,enabled
LOOT_R01_1,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R01_2,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R01_3,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R01_4,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R01_ELITE,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R02_1,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R02_2,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R02_3,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R02_4,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R02_ELITE,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R03_1,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R03_2,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R03_3,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R03_4,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R03_ELITE,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R04_1,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R04_2,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R04_3,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R04_4,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R04_ELITE,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R05_1,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R05_2,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R05_3,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R05_4,INDEPENDENT,1,TUNABLE,TRUE
LOOT_R05_ELITE,INDEPENDENT,1,TUNABLE,TRUE
LOOT_RAID_HYDRA,INDEPENDENT,1,TUNABLE,TRUE
LOOT_RAID_DRAGON,INDEPENDENT,1,TUNABLE,TRUE
