monster_id,name_text_key,region_id,type,level,hp,attack,defense,xp,bounty_personal_gold,loot_table_id,behavior_tag,spawn_weight,raid_id,status,enabled
MON_R01_SLIME,TXT_MON_R01_SLIME_NAME,REGION_R01,NORMAL,11,131,12,3,18,7,LOOT_R01_1,MELEE,24,,TUNABLE,TRUE
MON_R01_WOLF,TXT_MON_R01_WOLF_NAME,REGION_R01,NORMAL,12,144,13,4,18,7,LOOT_R01_2,MELEE,24,,TUNABLE,TRUE
MON_R01_BOAR,TXT_MON_R01_BOAR_NAME,REGION_R01,NORMAL,13,156,14,4,18,7,LOOT_R01_3,MELEE,24,,TUNABLE,TRUE
MON_R01_GOBLIN,TXT_MON_R01_GOBLIN_NAME,REGION_R01,NORMAL,14,168,15,5,18,7,LOOT_R01_4,MELEE,24,,TUNABLE,TRUE
MON_R01_ELITE_DIRE_WOLF,TXT_MON_R01_ELITE_DIRE_WOLF_NAME,REGION_R01,ELITE,18,450,28,10,80,35,LOOT_R01_ELITE,ELITE,4,,TUNABLE,TRUE
MON_R02_SPIDER,TXT_MON_R02_SPIDER_NAME,REGION_R02,NORMAL,21,290,26,8,39,15,LOOT_R02_1,MELEE,24,,TUNABLE,TRUE
MON_R02_TREANT,TXT_MON_R02_TREANT_NAME,REGION_R02,NORMAL,22,316,29,9,39,15,LOOT_R02_2,MELEE,24,,TUNABLE,TRUE
MON_R02_SHAMAN,TXT_MON_R02_SHAMAN_NAME,REGION_R02,NORMAL,23,343,32,10,39,15,LOOT_R02_3,RANGED,24,,TUNABLE,TRUE
MON_R02_LIZARD,TXT_MON_R02_LIZARD_NAME,REGION_R02,NORMAL,24,369,34,11,39,15,LOOT_R02_4,MELEE,24,,TUNABLE,TRUE
MON_R02_ELITE_OGRE,TXT_MON_R02_ELITE_OGRE_NAME,REGION_R02,ELITE,28,990,61,22,176,77,LOOT_R02_ELITE,ELITE,4,,TUNABLE,TRUE
MON_R03_BAT,TXT_MON_R03_BAT_NAME,REGION_R03,NORMAL,31,567,52,16,77,30,LOOT_R03_1,MELEE,24,,TUNABLE,TRUE
MON_R03_CRAWLER,TXT_MON_R03_CRAWLER_NAME,REGION_R03,NORMAL,32,619,57,18,77,30,LOOT_R03_2,MELEE,24,,TUNABLE,TRUE
MON_R03_GOLEM,TXT_MON_R03_GOLEM_NAME,REGION_R03,NORMAL,33,670,62,20,77,30,LOOT_R03_3,MELEE,24,,TUNABLE,TRUE
MON_R03_MINER,TXT_MON_R03_MINER_NAME,REGION_R03,NORMAL,34,722,67,21,77,30,LOOT_R03_4,MELEE,24,,TUNABLE,TRUE
MON_R03_ELITE_GUARDIAN,TXT_MON_R03_ELITE_GUARDIAN_NAME,REGION_R03,ELITE,38,1935,120,43,344,150,LOOT_R03_ELITE,ELITE,4,,TUNABLE,TRUE
MON_R04_FROG,TXT_MON_R04_FROG_NAME,REGION_R04,NORMAL,41,1003,92,29,136,53,LOOT_R04_1,MELEE,24,,TUNABLE,TRUE
MON_R04_WITCH,TXT_MON_R04_WITCH_NAME,REGION_R04,NORMAL,42,1094,101,32,136,53,LOOT_R04_2,RANGED,24,,TUNABLE,TRUE
MON_R04_PLAGUE_BEAST,TXT_MON_R04_PLAGUE_BEAST_NAME,REGION_R04,NORMAL,43,1185,110,35,136,53,LOOT_R04_3,MELEE,24,,TUNABLE,TRUE
MON_R04_TROLL,TXT_MON_R04_TROLL_NAME,REGION_R04,NORMAL,44,1276,120,38,136,53,LOOT_R04_4,MELEE,24,,TUNABLE,TRUE
MON_R04_ELITE_HYDRA_SPAWN,TXT_MON_R04_ELITE_HYDRA_SPAWN_NAME,REGION_R04,ELITE,48,3420,212,76,608,266,LOOT_R04_ELITE,ELITE,4,,TUNABLE,TRUE
MON_R05_ICE_WOLF,TXT_MON_R05_ICE_WOLF_NAME,REGION_R05,NORMAL,51,1649,152,48,225,87,LOOT_R05_1,MELEE,24,,TUNABLE,TRUE
MON_R05_WRAITH,TXT_MON_R05_WRAITH_NAME,REGION_R05,NORMAL,52,1800,167,53,225,87,LOOT_R05_2,MELEE,24,,TUNABLE,TRUE
MON_R05_YETI,TXT_MON_R05_YETI_NAME,REGION_R05,NORMAL,53,1950,182,58,225,87,LOOT_R05_3,MELEE,24,,TUNABLE,TRUE
MON_R05_RUNE_SENTINEL,TXT_MON_R05_RUNE_SENTINEL_NAME,REGION_R05,NORMAL,54,2100,197,63,225,87,LOOT_R05_4,MELEE,24,,TUNABLE,TRUE
MON_R05_ELITE_FROST_GIANT,TXT_MON_R05_ELITE_FROST_GIANT_NAME,REGION_R05,ELITE,58,5625,350,125,1000,437,LOOT_R05_ELITE,ELITE,4,,TUNABLE,TRUE
BOSS_HYDRA,TXT_BOSS_HYDRA_NAME,REGION_R04,RAID,58,65000,950,320,8000,4000,LOOT_RAID_HYDRA,POISON_MULTIHEAD,0,RAID_HYDRA,TUNABLE,TRUE
BOSS_DRAGON,TXT_BOSS_DRAGON_NAME,REGION_R05,RAID,75,180000,1850,650,25000,12000,LOOT_RAID_DRAGON,FIRE_FLYING_PARTS,0,RAID_DRAGON,TUNABLE,TRUE
