recipe_id,output_no,reward_type,reward_id,quantity,status,enabled
REC_EQ_T1_WARRIOR_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T1_WARRIOR_WEAPON,1,TUNABLE,TRUE
REC_EQ_T1_GUARDIAN_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T1_GUARDIAN_WEAPON,1,TUNABLE,TRUE
REC_EQ_T1_ARCHER_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T1_ARCHER_WEAPON,1,TUNABLE,TRUE
REC_EQ_T1_MAGE_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T1_MAGE_WEAPON,1,TUNABLE,TRUE
REC_EQ_T1_CLERIC_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T1_CLERIC_WEAPON,1,TUNABLE,TRUE
REC_EQ_T1_HEAVY_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T1_HEAVY_ARMOR,1,TUNABLE,TRUE
REC_EQ_T1_HEAVY_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T1_HEAVY_HELMET,1,TUNABLE,TRUE
REC_EQ_T1_LIGHT_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T1_LIGHT_ARMOR,1,TUNABLE,TRUE
REC_EQ_T1_LIGHT_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T1_LIGHT_HELMET,1,TUNABLE,TRUE
REC_EQ_T1_CLOTH_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T1_CLOTH_ARMOR,1,TUNABLE,TRUE
REC_EQ_T1_CLOTH_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T1_CLOTH_HELMET,1,TUNABLE,TRUE
REC_EQ_T1_POWER_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T1_POWER_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T1_GUARD_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T1_GUARD_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T1_WISDOM_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T1_WISDOM_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T2_WARRIOR_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T2_WARRIOR_WEAPON,1,TUNABLE,TRUE
REC_EQ_T2_GUARDIAN_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T2_GUARDIAN_WEAPON,1,TUNABLE,TRUE
REC_EQ_T2_ARCHER_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T2_ARCHER_WEAPON,1,TUNABLE,TRUE
REC_EQ_T2_MAGE_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T2_MAGE_WEAPON,1,TUNABLE,TRUE
REC_EQ_T2_CLERIC_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T2_CLERIC_WEAPON,1,TUNABLE,TRUE
REC_EQ_T2_HEAVY_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T2_HEAVY_ARMOR,1,TUNABLE,TRUE
REC_EQ_T2_HEAVY_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T2_HEAVY_HELMET,1,TUNABLE,TRUE
REC_EQ_T2_LIGHT_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T2_LIGHT_ARMOR,1,TUNABLE,TRUE
REC_EQ_T2_LIGHT_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T2_LIGHT_HELMET,1,TUNABLE,TRUE
REC_EQ_T2_CLOTH_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T2_CLOTH_ARMOR,1,TUNABLE,TRUE
REC_EQ_T2_CLOTH_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T2_CLOTH_HELMET,1,TUNABLE,TRUE
REC_EQ_T2_POWER_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T2_POWER_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T2_GUARD_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T2_GUARD_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T2_WISDOM_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T2_WISDOM_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T3_WARRIOR_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T3_WARRIOR_WEAPON,1,TUNABLE,TRUE
REC_EQ_T3_GUARDIAN_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T3_GUARDIAN_WEAPON,1,TUNABLE,TRUE
REC_EQ_T3_ARCHER_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T3_ARCHER_WEAPON,1,TUNABLE,TRUE
REC_EQ_T3_MAGE_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T3_MAGE_WEAPON,1,TUNABLE,TRUE
REC_EQ_T3_CLERIC_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T3_CLERIC_WEAPON,1,TUNABLE,TRUE
REC_EQ_T3_HEAVY_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T3_HEAVY_ARMOR,1,TUNABLE,TRUE
REC_EQ_T3_HEAVY_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T3_HEAVY_HELMET,1,TUNABLE,TRUE
REC_EQ_T3_LIGHT_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T3_LIGHT_ARMOR,1,TUNABLE,TRUE
REC_EQ_T3_LIGHT_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T3_LIGHT_HELMET,1,TUNABLE,TRUE
REC_EQ_T3_CLOTH_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T3_CLOTH_ARMOR,1,TUNABLE,TRUE
REC_EQ_T3_CLOTH_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T3_CLOTH_HELMET,1,TUNABLE,TRUE
REC_EQ_T3_POWER_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T3_POWER_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T3_GUARD_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T3_GUARD_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T3_WISDOM_ACCESSORY,1,EQUIPMENT_TEMPLATE,EQ_T3_WISDOM_ACCESSORY,1,TUNABLE,TRUE
REC_EQ_T4_WARRIOR_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T4_WARRIOR_WEAPON,1,TUNABLE,TRUE
REC_EQ_T4_GUARDIAN_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T4_GUARDIAN_WEAPON,1,TUNABLE,TRUE
REC_EQ_T4_ARCHER_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T4_ARCHER_WEAPON,1,TUNABLE,TRUE
REC_EQ_T4_MAGE_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T4_MAGE_WEAPON,1,TUNABLE,TRUE
REC_EQ_T4_CLERIC_WEAPON,1,EQUIPMENT_TEMPLATE,EQ_T4_CLERIC_WEAPON,1,TUNABLE,TRUE
REC_EQ_T4_HEAVY_ARMOR,1,EQUIPMENT_TEMPLATE,EQ_T4_HEAVY_ARMOR,1,TUNABLE,TRUE
REC_EQ_T4_HEAVY_HELMET,1,EQUIPMENT_TEMPLATE,EQ_T4_HEAVY_HELMET,1,TUNABLE,TRUE
