refine_option_id,name_text_key,option_group,stat_key,min_value,max_value,material_item_id,material_quantity,personal_gold_cost,status,enabled
REF_ATK_POWER,TXT_REF_ATK_POWER_NAME,ATTACK,ATTACK_PERCENT,0.03,0.12,MAT_R01_WOLF_FANG,1,2500,TUNABLE,TRUE
REF_CRIT,TXT_REF_CRIT_NAME,ATTACK,CRIT_CHANCE,0.02,0.08,MAT_R01_WOLF_FANG,1,2500,TUNABLE,TRUE
REF_DEF,TXT_REF_DEF_NAME,DEFENSE,DEFENSE_PERCENT,0.04,0.15,MAT_R03_GOLEM_FRAGMENT,1,2500,TUNABLE,TRUE
REF_HP,TXT_REF_HP_NAME,DEFENSE,HP_PERCENT,0.04,0.16,MAT_R04_TROLL_HIDE,1,2500,TUNABLE,TRUE
REF_MATERIAL,TXT_REF_MATERIAL_NAME,COLLECTION,MATERIAL_BONUS,0.02,0.08,MAT_R01_SLIME_GEL,1,2500,TUNABLE,TRUE
REF_RARE_FIND,TXT_REF_RARE_FIND_NAME,COLLECTION,RARE_FIND,0.01,0.05,MAT_R03_ANCIENT_GEAR,1,2500,TUNABLE,TRUE
REF_FIRE,TXT_REF_FIRE_NAME,ELEMENT,FIRE_DAMAGE,0.04,0.15,MAT_BOSS_ASH_CORE,1,2500,TUNABLE,TRUE
REF_FROST,TXT_REF_FROST_NAME,ELEMENT,FROST_RESIST,0.06,0.2,MAT_R05_FROZEN_CORE,1,2500,TUNABLE,TRUE
REF_POISON,TXT_REF_POISON_NAME,ELEMENT,POISON_POWER,0.05,0.18,MAT_R04_TOXIC_GLAND,1,2500,TUNABLE,TRUE
REF_BOSS,TXT_REF_BOSS_NAME,BOSS,BOSS_DAMAGE,0.03,0.12,MAT_BOSS_HYDRA_HEART,1,2500,TUNABLE,TRUE
REF_PART,TXT_REF_PART_NAME,BOSS,PART_DAMAGE,0.04,0.15,MAT_BOSS_DRAGON_HORN,1,2500,TUNABLE,TRUE
