tutorial_step_id,order,action_type,target_id,prerequisite_step_id,skippable,status,enabled
TUT_01_KINGDOM_OVERVIEW,1,VIEW_KINGDOM,KINGDOM_1,,TRUE,CONFIRMED,TRUE
TUT_02_FIRST_RECRUIT,2,RECRUIT_FROM_POOL,TAVERN_TUTORIAL_FIRST,TUT_01_KINGDOM_OVERVIEW,TRUE,CONFIRMED,TRUE
TUT_03_REGION_R01_PERMISSION,3,SET_REGION_PERMISSION,REGION_R01,TUT_02_FIRST_RECRUIT,TRUE,CONFIRMED,TRUE
TUT_04_OBSERVE_AUTO_HUNT,4,OBSERVE_AUTONOMY_HUNT,REGION_R01,TUT_03_REGION_R01_PERMISSION,TRUE,CONFIRMED,TRUE
TUT_05_RETURN_AND_SELL,5,RETURN_AND_SELL,FAC_STORE,TUT_04_OBSERVE_AUTO_HUNT,TRUE,CONFIRMED,TRUE
TUT_06_CRAFT_BASIC_WEAPON,6,BUILD_FACILITY_AND_CRAFT_RECIPE,REC_EQ_T1_WARRIOR_WEAPON,TUT_05_RETURN_AND_SELL,TRUE,CONFIRMED,TRUE
TUT_07_EQUIP_BASIC_WEAPON,7,WAIT_FOR_MERCENARY_BUY_AND_EQUIP,EQ_T1_WARRIOR_WEAPON,TUT_06_CRAFT_BASIC_WEAPON,TRUE,CONFIRMED,TRUE
TUT_08_CRAFT_HEAL_POTION,8,BUILD_FACILITY_AND_CRAFT_RECIPE,REC_POT_HEAL_SMALL,TUT_07_EQUIP_BASIC_WEAPON,TRUE,CONFIRMED,TRUE
TUT_09_PROMOTE_REGULAR,9,COMPLETE_PROMOTION,RANK_REGULAR,TUT_08_CRAFT_HEAL_POTION,TRUE,CONFIRMED,TRUE
TUT_10_UNLOCK_REGION_R02,10,UNLOCK_REGION,REGION_R02,TUT_09_PROMOTE_REGULAR,TRUE,CONFIRMED,TRUE
