rank_id,level,xp_to_next,cumulative_xp,status,enabled
RANK_APPRENTICE,1,20,0,TUNABLE,TRUE
RANK_APPRENTICE,2,24,20,TUNABLE,TRUE
RANK_APPRENTICE,3,30,44,TUNABLE,TRUE
RANK_APPRENTICE,4,36,74,TUNABLE,TRUE
RANK_APPRENTICE,5,44,110,TUNABLE,TRUE
RANK_APPRENTICE,6,52,154,TUNABLE,TRUE
RANK_APPRENTICE,7,62,206,TUNABLE,TRUE
RANK_APPRENTICE,8,72,268,TUNABLE,TRUE
RANK_APPRENTICE,9,84,340,TUNABLE,TRUE
RANK_APPRENTICE,10,96,424,TUNABLE,TRUE
RANK_APPRENTICE,11,110,520,TUNABLE,TRUE
RANK_APPRENTICE,12,124,630,TUNABLE,TRUE
RANK_APPRENTICE,13,140,754,TUNABLE,TRUE
RANK_APPRENTICE,14,156,894,TUNABLE,TRUE
RANK_APPRENTICE,15,174,1050,TUNABLE,TRUE
RANK_APPRENTICE,16,192,1224,TUNABLE,TRUE
RANK_APPRENTICE,17,212,1416,TUNABLE,TRUE
RANK_APPRENTICE,18,232,1628,TUNABLE,TRUE
RANK_APPRENTICE,19,254,1860,TUNABLE,TRUE
RANK_APPRENTICE,20,0,2114,TUNABLE,TRUE
RANK_REGULAR,1,40,0,TUNABLE,TRUE
RANK_REGULAR,2,49,40,TUNABLE,TRUE
RANK_REGULAR,3,60,89,TUNABLE,TRUE
RANK_REGULAR,4,73,149,TUNABLE,TRUE
RANK_REGULAR,5,88,222,TUNABLE,TRUE
RANK_REGULAR,6,105,310,TUNABLE,TRUE
RANK_REGULAR,7,124,415,TUNABLE,TRUE
RANK_REGULAR,8,145,539,TUNABLE,TRUE
RANK_REGULAR,9,168,684,TUNABLE,TRUE
RANK_REGULAR,10,193,852,TUNABLE,TRUE
RANK_REGULAR,11,220,1045,TUNABLE,TRUE
RANK_REGULAR,12,249,1265,TUNABLE,TRUE
RANK_REGULAR,13,280,1514,TUNABLE,TRUE
RANK_REGULAR,14,313,1794,TUNABLE,TRUE
RANK_REGULAR,15,348,2107,TUNABLE,TRUE
RANK_REGULAR,16,385,2455,TUNABLE,TRUE
RANK_REGULAR,17,424,2840,TUNABLE,TRUE
RANK_REGULAR,18,465,3264,TUNABLE,TRUE
RANK_REGULAR,19,508,3729,TUNABLE,TRUE
RANK_REGULAR,20,553,4237,TUNABLE,TRUE
RANK_REGULAR,21,600,4790,TUNABLE,TRUE
RANK_REGULAR,22,649,5390,TUNABLE,TRUE
RANK_REGULAR,23,700,6039,TUNABLE,TRUE
RANK_REGULAR,24,753,6739,TUNABLE,TRUE
RANK_REGULAR,25,808,7492,TUNABLE,TRUE
RANK_REGULAR,26,865,8300,TUNABLE,TRUE
RANK_REGULAR,27,924,9165,TUNABLE,TRUE
RANK_REGULAR,28,985,10089,TUNABLE,TRUE
RANK_REGULAR,29,1048,11074,TUNABLE,TRUE
RANK_REGULAR,30,0,12122,TUNABLE,TRUE
RANK_SKILLED,1,60,0,TUNABLE,TRUE
RANK_SKILLED,2,73,60,TUNABLE,TRUE
RANK_SKILLED,3,90,133,TUNABLE,TRUE
RANK_SKILLED,4,109,223,TUNABLE,TRUE
RANK_SKILLED,5,132,332,TUNABLE,TRUE
RANK_SKILLED,6,157,464,TUNABLE,TRUE
RANK_SKILLED,7,186,621,TUNABLE,TRUE
RANK_SKILLED,8,217,807,TUNABLE,TRUE
RANK_SKILLED,9,252,1024,TUNABLE,TRUE
RANK_SKILLED,10,289,1276,TUNABLE,TRUE
RANK_SKILLED,11,330,1565,TUNABLE,TRUE
RANK_SKILLED,12,373,1895,TUNABLE,TRUE
RANK_SKILLED,13,420,2268,TUNABLE,TRUE
RANK_SKILLED,14,469,2688,TUNABLE,TRUE
RANK_SKILLED,15,522,3157,TUNABLE,TRUE
RANK_SKILLED,16,577,3679,TUNABLE,TRUE
RANK_SKILLED,17,636,4256,TUNABLE,TRUE
RANK_SKILLED,18,697,4892,TUNABLE,TRUE
RANK_SKILLED,19,762,5589,TUNABLE,TRUE
RANK_SKILLED,20,829,6351,TUNABLE,TRUE
RANK_SKILLED,21,900,7180,TUNABLE,TRUE
RANK_SKILLED,22,973,8080,TUNABLE,TRUE
RANK_SKILLED,23,1050,9053,TUNABLE,TRUE
RANK_SKILLED,24,1129,10103,TUNABLE,TRUE
RANK_SKILLED,25,1212,11232,TUNABLE,TRUE
RANK_SKILLED,26,1297,12444,TUNABLE,TRUE
RANK_SKILLED,27,1386,13741,TUNABLE,TRUE
RANK_SKILLED,28,1477,15127,TUNABLE,TRUE
RANK_SKILLED,29,1572,16604,TUNABLE,TRUE
RANK_SKILLED,30,1669,18176,TUNABLE,TRUE
RANK_SKILLED,31,1770,19845,TUNABLE,TRUE
RANK_SKILLED,32,1873,21615,TUNABLE,TRUE
RANK_SKILLED,33,1980,23488,TUNABLE,TRUE
RANK_SKILLED,34,2089,25468,TUNABLE,TRUE
RANK_SKILLED,35,2202,27557,TUNABLE,TRUE
RANK_SKILLED,36,2317,29759,TUNABLE,TRUE
RANK_SKILLED,37,2436,32076,TUNABLE,TRUE
RANK_SKILLED,38,2557,34512,TUNABLE,TRUE
RANK_SKILLED,39,2682,37069,TUNABLE,TRUE
RANK_SKILLED,40,0,39751,TUNABLE,TRUE
RANK_ELITE,1,80,0,TUNABLE,TRUE
RANK_ELITE,2,98,80,TUNABLE,TRUE
RANK_ELITE,3,120,178,TUNABLE,TRUE
RANK_ELITE,4,146,298,TUNABLE,TRUE
RANK_ELITE,5,176,444,TUNABLE,TRUE
RANK_ELITE,6,210,620,TUNABLE,TRUE
RANK_ELITE,7,248,830,TUNABLE,TRUE
RANK_ELITE,8,290,1078,TUNABLE,TRUE
RANK_ELITE,9,336,1368,TUNABLE,TRUE
RANK_ELITE,10,386,1704,TUNABLE,TRUE
RANK_ELITE,11,440,2090,TUNABLE,TRUE
RANK_ELITE,12,498,2530,TUNABLE,TRUE
RANK_ELITE,13,560,3028,TUNABLE,TRUE
RANK_ELITE,14,626,3588,TUNABLE,TRUE
RANK_ELITE,15,696,4214,TUNABLE,TRUE
RANK_ELITE,16,770,4910,TUNABLE,TRUE
RANK_ELITE,17,848,5680,TUNABLE,TRUE
RANK_ELITE,18,930,6528,TUNABLE,TRUE
RANK_ELITE,19,1016,7458,TUNABLE,TRUE
RANK_ELITE,20,1106,8474,TUNABLE,TRUE
RANK_ELITE,21,1200,9580,TUNABLE,TRUE
RANK_ELITE,22,1298,10780,TUNABLE,TRUE
RANK_ELITE,23,1400,12078,TUNABLE,TRUE
RANK_ELITE,24,1506,13478,TUNABLE,TRUE
RANK_ELITE,25,1616,14984,TUNABLE,TRUE
RANK_ELITE,26,1730,16600,TUNABLE,TRUE
RANK_ELITE,27,1848,18330,TUNABLE,TRUE
RANK_ELITE,28,1970,20178,TUNABLE,TRUE
RANK_ELITE,29,2096,22148,TUNABLE,TRUE
RANK_ELITE,30,2226,24244,TUNABLE,TRUE
RANK_ELITE,31,2360,26470,TUNABLE,TRUE
RANK_ELITE,32,2498,28830,TUNABLE,TRUE
RANK_ELITE,33,2640,31328,TUNABLE,TRUE
RANK_ELITE,34,2786,33968,TUNABLE,TRUE
