region_id,monster_id,weight,wave_min,wave_max,spawn_group,status,enabled
REGION_R01,MON_R01_SLIME,24,2,5,R01_NORMAL,TUNABLE,TRUE
REGION_R01,MON_R01_WOLF,24,2,5,R01_NORMAL,TUNABLE,TRUE
REGION_R01,MON_R01_BOAR,24,2,5,R01_NORMAL,TUNABLE,TRUE
REGION_R01,MON_R01_GOBLIN,24,2,5,R01_NORMAL,TUNABLE,TRUE
REGION_R01,MON_R01_ELITE_DIRE_WOLF,4,1,1,R01_ELITE,TUNABLE,TRUE
REGION_R02,MON_R02_SPIDER,24,2,5,R02_NORMAL,TUNABLE,TRUE
REGION_R02,MON_R02_TREANT,24,2,5,R02_NORMAL,TUNABLE,TRUE
REGION_R02,MON_R02_SHAMAN,24,2,5,R02_NORMAL,TUNABLE,TRUE
REGION_R02,MON_R02_LIZARD,24,2,5,R02_NORMAL,TUNABLE,TRUE
REGION_R02,MON_R02_ELITE_OGRE,4,1,1,R02_ELITE,TUNABLE,TRUE
REGION_R03,MON_R03_BAT,24,2,5,R03_NORMAL,TUNABLE,TRUE
REGION_R03,MON_R03_CRAWLER,24,2,5,R03_NORMAL,TUNABLE,TRUE
REGION_R03,MON_R03_GOLEM,24,2,5,R03_NORMAL,TUNABLE,TRUE
REGION_R03,MON_R03_MINER,24,2,5,R03_NORMAL,TUNABLE,TRUE
REGION_R03,MON_R03_ELITE_GUARDIAN,4,1,1,R03_ELITE,TUNABLE,TRUE
REGION_R04,MON_R04_FROG,24,2,5,R04_NORMAL,TUNABLE,TRUE
REGION_R04,MON_R04_WITCH,24,2,5,R04_NORMAL,TUNABLE,TRUE
REGION_R04,MON_R04_PLAGUE_BEAST,24,2,5,R04_NORMAL,TUNABLE,TRUE
REGION_R04,MON_R04_TROLL,24,2,5,R04_NORMAL,TUNABLE,TRUE
REGION_R04,MON_R04_ELITE_HYDRA_SPAWN,4,1,1,R04_ELITE,TUNABLE,TRUE
REGION_R05,MON_R05_ICE_WOLF,24,2,5,R05_NORMAL,TUNABLE,TRUE
REGION_R05,MON_R05_WRAITH,24,2,5,R05_NORMAL,TUNABLE,TRUE
REGION_R05,MON_R05_YETI,24,2,5,R05_NORMAL,TUNABLE,TRUE
REGION_R05,MON_R05_RUNE_SENTINEL,24,2,5,R05_NORMAL,TUNABLE,TRUE
REGION_R05,MON_R05_ELITE_FROST_GIANT,4,1,1,R05_ELITE,TUNABLE,TRUE
