skill_id,cast_range_milli,cast_time_ticks,recovery_ticks,target_count,radius_milli,coefficient_bps,effect_type,status_effect_id,effect_value_bps,interruptible,status,enabled
SK_WAR_HEAVY_SLASH,1500,2,3,1,0,16000,DAMAGE,,0,TRUE,TUNABLE,TRUE
SK_WAR_BATTLE_RUSH,5000,2,4,1,0,12000,DASH_DAMAGE,,0,TRUE,TUNABLE,TRUE
SK_WAR_TENACITY,0,0,0,1,0,0,PASSIVE_LOW_HP_DEFENSE,,2000,FALSE,TUNABLE,TRUE
SK_GUA_TAUNT,4200,1,3,6,4200,5000,DAMAGE_STATUS,STATUS_TAUNT,0,TRUE,TUNABLE,TRUE
SK_GUA_FORTRESS,0,1,3,1,0,0,STATUS,STATUS_BARRIER,8000,TRUE,TUNABLE,TRUE
SK_GUA_GUARD_MARK,6000,0,0,1,0,0,PASSIVE_ALLY_GUARD,,2500,FALSE,TUNABLE,TRUE
SK_ARC_QUICK_SHOT,6500,1,2,1,0,12500,DAMAGE,,0,TRUE,TUNABLE,TRUE
SK_ARC_PIERCE,7000,2,4,3,1000,14000,LINE_DAMAGE,,0,TRUE,TUNABLE,TRUE
SK_ARC_HUNTER_EYE,0,0,0,1,0,0,PASSIVE_ACCURACY_CRIT,,1000,FALSE,TUNABLE,TRUE
SK_MAG_FIRE_BURST,6000,3,4,5,2400,13500,AREA_DAMAGE_STATUS,STATUS_BURN,2500,TRUE,TUNABLE,TRUE
SK_MAG_FROST_NOVA,3200,2,5,6,3200,9000,AREA_DAMAGE_STATUS,STATUS_SLOW,3000,TRUE,TUNABLE,TRUE
SK_MAG_MANA_FLOW,0,0,0,1,0,0,PASSIVE_STATUS_POWER,,1500,FALSE,TUNABLE,TRUE
SK_CLE_HEAL,5500,2,3,1,0,12000,HEAL,,0,TRUE,TUNABLE,TRUE
SK_CLE_BARRIER,5500,2,4,1,0,8000,STATUS,STATUS_BARRIER,8000,TRUE,TUNABLE,TRUE
SK_CLE_BLESSING,5000,2,4,6,5000,0,STATUS,STATUS_BLESSING,1000,TRUE,TUNABLE,TRUE
