facility_id,level,build_or_upgrade_duration_seconds,cancel_refund_ratio,status,enabled
FAC_TAVERN,1,30,0,TUNABLE,TRUE
FAC_TAVERN,2,120,0,TUNABLE,TRUE
FAC_TAVERN,3,300,0,TUNABLE,TRUE
FAC_TAVERN,4,600,0,TUNABLE,TRUE
FAC_LODGE,1,20,0,TUNABLE,TRUE
FAC_LODGE,2,90,0,TUNABLE,TRUE
FAC_LODGE,3,240,0,TUNABLE,TRUE
FAC_LODGE,4,480,0,TUNABLE,TRUE
FAC_GUILD,1,45,0,TUNABLE,TRUE
FAC_GUILD,2,180,0,TUNABLE,TRUE
FAC_GUILD,3,420,0,TUNABLE,TRUE
FAC_GUILD,4,900,0,TUNABLE,TRUE
FAC_STORE,1,30,0,TUNABLE,TRUE
FAC_STORE,2,120,0,TUNABLE,TRUE
FAC_STORE,3,300,0,TUNABLE,TRUE
FAC_STORE,4,600,0,TUNABLE,TRUE
FAC_BLACKSMITH,1,45,0,TUNABLE,TRUE
FAC_BLACKSMITH,2,180,0,TUNABLE,TRUE
FAC_BLACKSMITH,3,420,0,TUNABLE,TRUE
FAC_BLACKSMITH,4,900,0,TUNABLE,TRUE
FAC_ALCHEMY,1,45,0,TUNABLE,TRUE
FAC_ALCHEMY,2,180,0,TUNABLE,TRUE
FAC_ALCHEMY,3,420,0,TUNABLE,TRUE
FAC_ALCHEMY,4,900,0,TUNABLE,TRUE
FAC_WAREHOUSE,1,30,0,TUNABLE,TRUE
FAC_WAREHOUSE,2,120,0,TUNABLE,TRUE
FAC_WAREHOUSE,3,300,0,TUNABLE,TRUE
FAC_WAREHOUSE,4,600,0,TUNABLE,TRUE
FAC_INFIRMARY,1,45,0,TUNABLE,TRUE
FAC_INFIRMARY,2,180,0,TUNABLE,TRUE
FAC_INFIRMARY,3,420,0,TUNABLE,TRUE
FAC_INFIRMARY,4,900,0,TUNABLE,TRUE
