locale,text_key,text_value,context,status,enabled
en-US,TXT_CURRENCY_PERSONAL_GOLD_NAME,Personal Gold,CURRENCY,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_ASSIGN,Assign NPC,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_BACK,Back,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_BUILD,Build,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_CANCEL,Cancel,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_CLAIM,Complete,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_CLOSE,Close,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_CONFIRM,Confirm,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_RETRY,Retry,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_UNASSIGN,Unassign,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ACTION_UPGRADE,Upgrade,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_AUTOSAVE_DEBOUNCE_DESC,P04 autosave debounce,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_COST_GOLD,Kingdom Gold {amount},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_COST_MATERIAL,{item} × {amount},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_DEV_CLOCK_DESC,P04 test clock mode,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_DRAWER_DURATION_DESC,Facility drawer animation duration,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_GOLD,Not enough Kingdom Gold.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_JOB_NOT_READY,The facility job is not ready.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_JOB_RUNNING,A facility job is already in progress.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_MATERIAL,Not enough materials.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_MAX_LEVEL,Maximum level reached.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_NPC_ASSIGNED,This NPC is already assigned.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_NPC_NONE,No management NPC is available.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_NPC_PROFESSION,This NPC has the wrong profession.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_PROFILE_AMBIGUOUS,Multiple local kingdoms were found and cannot be selected automatically.,P04_PROFILE,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_PROFILE_DISCOVERY,The local kingdom save location could not be inspected.,P04_PROFILE,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_REVISION,Another change was saved first. Reloading.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_SAVE_CREATE,Could not save the new kingdom.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_SAVE_LOAD,Could not load save data.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_SAVE_WRITE,Could not save changes.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_ERROR_STAGE,A higher Kingdom Stage is required.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_HUD_GOLD,Gold {amount},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_HUD_PREMIUM,Premium {amount},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_HUD_RECOVERED,A backup save was recovered.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_HUD_STAGE,Kingdom Stage {stage},P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_ALCHEMY,Alchemy unlocks in P10.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_BLACKSMITH,Smithing unlocks in P10.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_GUILD,Guild requests unlock in P11.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_INFIRMARY,Treatment unlocks in P09.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_STORE,Trading unlocks in P08.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_TAVERN,Recruitment unlocks in P13.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_PHASE_WAREHOUSE,Warehouse operations unlock in P07.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_LOCKED_STAGE,Unlocks at Kingdom Stage {stage}.,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_MODAL_ASSIGN_TITLE,Assign Management NPC,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_MODAL_BUILD_TITLE,Build Facility,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_MODAL_UPGRADE_TITLE,Upgrade Facility,P04_UI,CONFIRMED,TRUE
en-US,TXT_P04_NAV_CRAFT,Craft,P04_UI,CONFIRMED,TRUE
