reason_code,transaction_type,user_visible,text_key,status,enabled
MERCENARY_STORE_SALE,SELL_TO_STORE,TRUE,TXT_P08_REASON_SALE,CONFIRMED,TRUE
MERCENARY_STORE_PURCHASE,BUY_FROM_STORE,TRUE,TXT_P08_REASON_PURCHASE,CONFIRMED,TRUE
STORE_POLICY_CHANGE,SET_PRICING_POLICY,TRUE,TXT_P08_REASON_POLICY,CONFIRMED,TRUE
SYSTEM_STORE_SUPPLY,SYSTEM_SUPPLY,FALSE,TXT_P08_REASON_SUPPLY,CONFIRMED,TRUE
AUTO_SELL_ELIGIBLE,SELL_TO_STORE,TRUE,TXT_P08_REASON_AUTO_SELL,CONFIRMED,TRUE
POTION_TARGET_LOW,BUY_FROM_STORE,TRUE,TXT_P08_REASON_POTION_LOW,CONFIRMED,TRUE
EQUIPMENT_UPGRADE,BUY_FROM_STORE,TRUE,TXT_P08_REASON_EQUIPMENT,CONFIRMED,TRUE
RETURNED_TO_STORE,AUTONOMY,TRUE,TXT_P08_REASON_RETURNED,CONFIRMED,TRUE
HEAL_DEFERRED_P09,AUTONOMY,TRUE,TXT_P08_REASON_HEAL_DEFERRED,CONFIRMED,TRUE
NO_ELIGIBLE_TRANSACTION,AUTONOMY,FALSE,TXT_P08_REASON_NONE,CONFIRMED,TRUE
