trait_id,name_text_key,category,effect_key,effect_value,description_text_key,status,enabled
TRAIT_STRONG,TXT_TRAIT_STRONG_NAME,STAT,STR_PERCENT,0.06,TXT_TRAIT_STRONG_DESCRIPTION,TUNABLE,TRUE
TRAIT_STURDY,TXT_TRAIT_STURDY_NAME,STAT,HP_PERCENT,0.08,TXT_TRAIT_STURDY_DESCRIPTION,TUNABLE,TRUE
TRAIT_KEEN_EYE,TXT_TRAIT_KEEN_EYE_NAME,COMBAT,CRIT_CHANCE,0.04,TXT_TRAIT_KEEN_EYE_DESCRIPTION,TUNABLE,TRUE
TRAIT_ARCANE,TXT_TRAIT_ARCANE_NAME,COMBAT,MAGIC_DAMAGE,0.07,TXT_TRAIT_ARCANE_DESCRIPTION,TUNABLE,TRUE
TRAIT_LUCKY,TXT_TRAIT_LUCKY_NAME,COLLECTION,RARE_FIND,0.03,TXT_TRAIT_LUCKY_DESCRIPTION,TUNABLE,TRUE
TRAIT_SCAVENGER,TXT_TRAIT_SCAVENGER_NAME,COLLECTION,MATERIAL_BONUS,0.05,TXT_TRAIT_SCAVENGER_DESCRIPTION,TUNABLE,TRUE
TRAIT_BOSS_HUNTER,TXT_TRAIT_BOSS_HUNTER_NAME,BOSS,BOSS_DAMAGE,0.06,TXT_TRAIT_BOSS_HUNTER_DESCRIPTION,TUNABLE,TRUE
TRAIT_POISON_RESIST,TXT_TRAIT_POISON_RESIST_NAME,RESIST,POISON_RESIST,0.12,TXT_TRAIT_POISON_RESIST_DESCRIPTION,TUNABLE,TRUE
TRAIT_FROSTBORN,TXT_TRAIT_FROSTBORN_NAME,RESIST,FROST_RESIST,0.12,TXT_TRAIT_FROSTBORN_DESCRIPTION,TUNABLE,TRUE
TRAIT_SURVIVOR,TXT_TRAIT_SURVIVOR_NAME,AI,RETURN_HP_BONUS,0.08,TXT_TRAIT_SURVIVOR_DESCRIPTION,TUNABLE,TRUE
