condition_group_id,logic,description_key,status,enabled
COND_GRP_KINGDOM_1_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_KINGDOM_2_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_KINGDOM_3_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_KINGDOM_4_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,ALL,,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,ALL,,TUNABLE,TRUE
COND_GRP_KINGDOM_5_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_REGION_R01_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_REGION_R02_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_REGION_R03_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_REGION_R04_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_REGION_R05_UNLOCK,ALL,,CONFIRMED,TRUE
COND_GRP_RAID_HYDRA_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_RAID_DRAGON_UNLOCK,ALL,,TUNABLE,TRUE
COND_GRP_HYDRA_HEAD_BREAK,ALL,,TUNABLE,TRUE
COND_GRP_HYDRA_BODY_BREAK,ALL,,TUNABLE,TRUE
COND_GRP_HYDRA_HEART_EXPOSED,ALL,,TUNABLE,TRUE
COND_GRP_DRAGON_HORN_BREAK,ALL,,TUNABLE,TRUE
COND_GRP_DRAGON_WING_BREAK,ALL,,TUNABLE,TRUE
COND_GRP_DRAGON_BODY_BREAK,ALL,,TUNABLE,TRUE
COND_GRP_DRAGON_HEART_EXPOSED,ALL,,TUNABLE,TRUE
