condition_id,condition_type,subject_type,subject_id,subject_sub_id,operator,value_type,expected_value,status,enabled
COND_ALWAYS_TRUE,ALWAYS_TRUE,SYSTEM,,,EQ,BOOLEAN,TRUE,CONFIRMED,TRUE
COND_FACILITY_UPGRADE_COUNT_3,FACILITY_UPGRADE_COUNT,KINGDOM,,,GTE,INTEGER,3,TUNABLE,TRUE
COND_REGION_R02_UNLOCKED,REGION_UNLOCKED,REGION,REGION_R02,,EQ,BOOLEAN,TRUE,CONFIRMED,TRUE
COND_MON_R02_ELITE_OGRE_KILL_1,MONSTER_KILL_COUNT,MONSTER,MON_R02_ELITE_OGRE,,GTE,INTEGER,1,TUNABLE,TRUE
COND_REGULAR_OR_HIGHER_6,MERCENARY_COUNT_AT_RANK_OR_HIGHER,MERCENARY_ROSTER,RANK_REGULAR,,GTE,INTEGER,6,TUNABLE,TRUE
COND_RAID_HYDRA_CLEAR_1,RAID_CLEAR_COUNT,RAID,RAID_HYDRA,,GTE,INTEGER,1,TUNABLE,TRUE
COND_ELITE_OR_HIGHER_4,MERCENARY_COUNT_AT_RANK_OR_HIGHER,MERCENARY_ROSTER,RANK_ELITE,,GTE,INTEGER,4,TUNABLE,TRUE
COND_REGION_R01_UNLOCKED,REGION_UNLOCKED,REGION,REGION_R01,,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_REGION_R03_UNLOCKED,REGION_UNLOCKED,REGION,REGION_R03,,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_REGION_R04_UNLOCKED,REGION_UNLOCKED,REGION,REGION_R04,,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_REGION_R05_UNLOCKED,REGION_UNLOCKED,REGION,REGION_R05,,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_FAC_TAVERN_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_TAVERN,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_LODGE_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_LODGE,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_GUILD_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_GUILD,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_STORE_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_STORE,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_BLACKSMITH_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_BLACKSMITH,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_ALCHEMY_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_ALCHEMY,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_WAREHOUSE_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_WAREHOUSE,,GTE,INTEGER,4,TUNABLE,TRUE
COND_FAC_INFIRMARY_LEVEL_4,FACILITY_LEVEL,FACILITY,FAC_INFIRMARY,,GTE,INTEGER,4,TUNABLE,TRUE
COND_HERO_OR_HIGHER_4,MERCENARY_COUNT_AT_RANK_OR_HIGHER,MERCENARY_ROSTER,RANK_HERO,,GTE,INTEGER,4,TUNABLE,TRUE
COND_TUT_09_COMPLETED,TUTORIAL_STEP_COMPLETED,TUTORIAL_STEP,TUT_09_PROMOTE_REGULAR,,EQ,BOOLEAN,TRUE,CONFIRMED,TRUE
COND_FAC_ALCHEMY_LEVEL_2,FACILITY_LEVEL,FACILITY,FAC_ALCHEMY,,GTE,INTEGER,2,CONFIRMED,TRUE
COND_MON_R03_ELITE_GUARDIAN_KILL_1,MONSTER_KILL_COUNT,MONSTER,MON_R03_ELITE_GUARDIAN,,GTE,INTEGER,1,CONFIRMED,TRUE
COND_REGION_R04_PROGRESS_100,REGION_PROGRESS_PERCENT,REGION,REGION_R04,,GTE,INTEGER,100,TUNABLE,TRUE
COND_KINGDOM_5_REACHED,KINGDOM_STAGE_REACHED,KINGDOM_STAGE,KINGDOM_5,,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_HYDRA_HEAD_BREAK,RAID_PART_BROKEN,RAID_PART,RAID_HYDRA,HYDRA_HEAD,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_HYDRA_BODY_BREAK,RAID_PART_BROKEN,RAID_PART,RAID_HYDRA,HYDRA_BODY,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_HYDRA_HEART_EXPOSED,RAID_PART_EXPOSED,RAID_PART,RAID_HYDRA,HYDRA_HEART,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_DRAGON_HORN_BREAK,RAID_PART_BROKEN,RAID_PART,RAID_DRAGON,DRAGON_HORN,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_DRAGON_WING_BREAK,RAID_PART_BROKEN,RAID_PART,RAID_DRAGON,DRAGON_WING,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_DRAGON_BODY_BREAK,RAID_PART_BROKEN,RAID_PART,RAID_DRAGON,DRAGON_BODY,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_DRAGON_HEART_EXPOSED,RAID_PART_EXPOSED,RAID_PART,RAID_DRAGON,DRAGON_HEART,EQ,BOOLEAN,TRUE,TUNABLE,TRUE
COND_RAID_HYDRA_CLEAR,RAID_CLEAR_COUNT,RAID,RAID_HYDRA,,GTE,INTEGER,1,TUNABLE,TRUE
COND_RAID_DRAGON_CLEAR,RAID_CLEAR_COUNT,RAID,RAID_DRAGON,,GTE,INTEGER,1,TUNABLE,TRUE
