reward_group_id,distribution_mode,draw_count,status,enabled
REWARD_RAID_HYDRA_FIRST_CLEAR,ALL,1,CONFIRMED,TRUE
REWARD_RAID_DRAGON_FIRST_CLEAR,ALL,2,CONFIRMED,TRUE
REWARD_HYDRA_HEAD_BREAK,ALL,1,TUNABLE,TRUE
REWARD_HYDRA_BODY_BREAK,ALL,1,TUNABLE,TRUE
REWARD_HYDRA_HEART_EXPOSED,ALL,1,TUNABLE,TRUE
REWARD_DRAGON_HORN_BREAK,ALL,1,TUNABLE,TRUE
REWARD_DRAGON_WING_BREAK,ALL,1,TUNABLE,TRUE
REWARD_DRAGON_BODY_BREAK,ALL,1,TUNABLE,TRUE
REWARD_DRAGON_HEART_EXPOSED,ALL,1,TUNABLE,TRUE
REWARD_RAID_HYDRA_NORMAL_REPEAT,ALL,1,TUNABLE,TRUE
REWARD_RAID_HYDRA_HARD_REPEAT,ALL,1,TUNABLE,TRUE
REWARD_RAID_HYDRA_CORRUPTED_REPEAT,ALL,1,TUNABLE,TRUE
REWARD_RAID_DRAGON_NORMAL_REPEAT,ALL,1,TUNABLE,TRUE
REWARD_RAID_DRAGON_HARD_REPEAT,ALL,1,TUNABLE,TRUE
REWARD_RAID_DRAGON_CORRUPTED_REPEAT,ALL,1,TUNABLE,TRUE
