state,rule_no,priority,condition_type,condition_value,reason_code,next_state,status,enabled
IDLE_TOWN,1,100,HAS_INJURY,,HP_LOW,INJURED,TUNABLE,TRUE
IDLE_TOWN,2,90,PROMOTION_AVAILABLE,,PROMOTION_AVAILABLE,PROMOTION_READY,TUNABLE,TRUE
IDLE_TOWN,3,80,HAS_ACTIVE_ASSIGNMENT,,POLICY,PREPARE,TUNABLE,TRUE
IDLE_TOWN,4,0,ALWAYS,,NONE,IDLE_TOWN,TUNABLE,TRUE
PREPARE,1,100,HAS_INJURY,,HP_LOW,INJURED,TUNABLE,TRUE
PREPARE,2,90,POTION_COUNT_LTE,0,POTION_LOW,TRAVEL_TO_REGION,TUNABLE,TRUE
PREPARE,3,0,ALWAYS,,POLICY,TRAVEL_TO_REGION,TUNABLE,TRUE
TRAVEL_TO_REGION,1,0,ARRIVED_REGION,,POLICY,FIND_TARGET,TUNABLE,TRUE
FIND_TARGET,1,100,TARGET_AVAILABLE,,TARGET_FOUND,COMBAT,TUNABLE,TRUE
FIND_TARGET,2,0,NO_TARGET_AVAILABLE,,POLICY,RETURN_TOWN,TUNABLE,TRUE
COMBAT,1,100,HP_RATIO_LTE,0.3,HP_LOW,RETURN_TOWN,TUNABLE,TRUE
COMBAT,2,90,INVENTORY_RATIO_GTE,0.9,INVENTORY_FULL,RETURN_TOWN,CONFIRMED,FALSE
COMBAT,3,80,TARGET_DEFEATED,,LOOT_COMPLETE,LOOT,TUNABLE,TRUE
COMBAT,4,0,ALWAYS,,POLICY,COMBAT,TUNABLE,TRUE
LOOT,1,100,INVENTORY_RATIO_GTE,0.9,INVENTORY_FULL,RETURN_TOWN,CONFIRMED,FALSE
LOOT,2,0,ALWAYS,,LOOT_COMPLETE,CONTINUE_DECISION,TUNABLE,TRUE
CONTINUE_DECISION,1,100,HP_RATIO_LTE,0.3,HP_LOW,RETURN_TOWN,TUNABLE,TRUE
CONTINUE_DECISION,2,90,POTION_COUNT_LTE,0,POTION_LOW,RETURN_TOWN,TUNABLE,TRUE
CONTINUE_DECISION,3,0,ALWAYS,,POLICY,FIND_TARGET,TUNABLE,TRUE
RETURN_TOWN,1,0,ARRIVED_TOWN,,NONE,IDLE_TOWN,TUNABLE,TRUE
SELL_LOOT,1,100,HAS_INJURY,,HP_LOW,HEAL,TUNABLE,TRUE
SELL_LOOT,2,0,ALWAYS,,LOOT_COMPLETE,EVALUATE_EQUIPMENT,TUNABLE,TRUE
HEAL,1,100,INJURY_CLEARED,,POLICY,BUY_CONSUMABLES,TUNABLE,TRUE
HEAL,2,0,ALWAYS,,POLICY,HEAL,TUNABLE,TRUE
BUY_CONSUMABLES,1,0,PURCHASE_DECISION_COMPLETE,,POLICY,EVALUATE_EQUIPMENT,TUNABLE,TRUE
EVALUATE_EQUIPMENT,1,100,UPGRADE_PURCHASE_AVAILABLE,0.05,POLICY,BUY_EQUIPMENT,TUNABLE,TRUE
EVALUATE_EQUIPMENT,2,90,PROMOTION_AVAILABLE,,PROMOTION_AVAILABLE,PROMOTION_READY,TUNABLE,TRUE
EVALUATE_EQUIPMENT,3,0,ALWAYS,,POLICY,PREPARE,TUNABLE,TRUE
BUY_EQUIPMENT,1,0,PURCHASE_DECISION_COMPLETE,,POLICY,PREPARE,TUNABLE,TRUE
PROMOTION_READY,1,100,PROMOTION_REVIEW_STARTED,,PROMOTION_AVAILABLE,PROMOTION_PROCESS,TUNABLE,TRUE
PROMOTION_READY,2,0,ALWAYS,,PROMOTION_AVAILABLE,IDLE_TOWN,TUNABLE,TRUE
PROMOTION_PROCESS,1,100,PROMOTION_REVIEW_COMPLETE,,POLICY,IDLE_TOWN,TUNABLE,TRUE
PROMOTION_PROCESS,2,0,ALWAYS,,POLICY,PROMOTION_PROCESS,TUNABLE,TRUE
INJURED,1,100,IS_IN_TOWN,,HP_LOW,HEAL,TUNABLE,TRUE
INJURED,2,0,ALWAYS,,HP_LOW,RETURN_TOWN,TUNABLE,TRUE
RAID_READY,1,100,PLAYER_RECALL_ACTIVE,,PLAYER_RECALL,IDLE_TOWN,TUNABLE,TRUE
RAID_READY,2,0,ALWAYS,,POLICY,RAID_READY,TUNABLE,TRUE
