skill_id,job_id,name_text_key,kind,unlock_rank_id,target,cooldown_sec,power_coeff,resource_cost,condition,description_text_key,status,enabled
SK_WAR_HEAVY_SLASH,JOB_WARRIOR,TXT_SK_WAR_HEAVY_SLASH_NAME,ACTIVE,RANK_APPRENTICE,ENEMY_SINGLE,6,1.6,0,TARGET_IN_MELEE,TXT_SK_WAR_HEAVY_SLASH_DESCRIPTION,CONFIRMED,TRUE
SK_WAR_BATTLE_RUSH,JOB_WARRIOR,TXT_SK_WAR_BATTLE_RUSH_NAME,ACTIVE,RANK_REGULAR,ENEMY_SINGLE,12,1.2,0,DISTANCE_GT_2,TXT_SK_WAR_BATTLE_RUSH_DESCRIPTION,CONFIRMED,TRUE
SK_WAR_TENACITY,JOB_WARRIOR,TXT_SK_WAR_TENACITY_NAME,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,TXT_SK_WAR_TENACITY_DESCRIPTION,CONFIRMED,TRUE
SK_GUA_TAUNT,JOB_GUARDIAN,TXT_SK_GUA_TAUNT_NAME,ACTIVE,RANK_APPRENTICE,ENEMY_AREA,10,0.5,0,ENEMY_NEAR_ALLY,TXT_SK_GUA_TAUNT_DESCRIPTION,CONFIRMED,TRUE
SK_GUA_FORTRESS,JOB_GUARDIAN,TXT_SK_GUA_FORTRESS_NAME,ACTIVE,RANK_REGULAR,SELF,15,0,0,HP_LT_70,TXT_SK_GUA_FORTRESS_DESCRIPTION,CONFIRMED,TRUE
SK_GUA_GUARD_MARK,JOB_GUARDIAN,TXT_SK_GUA_GUARD_MARK_NAME,PASSIVE,RANK_SKILLED,ALLY_LOW_HP,0,0,0,ALLY_HP_LT_50,TXT_SK_GUA_GUARD_MARK_DESCRIPTION,CONFIRMED,TRUE
SK_ARC_QUICK_SHOT,JOB_ARCHER,TXT_SK_ARC_QUICK_SHOT_NAME,ACTIVE,RANK_APPRENTICE,ENEMY_SINGLE,5,1.25,0,TARGET_IN_RANGE,TXT_SK_ARC_QUICK_SHOT_DESCRIPTION,CONFIRMED,TRUE
SK_ARC_PIERCE,JOB_ARCHER,TXT_SK_ARC_PIERCE_NAME,ACTIVE,RANK_REGULAR,ENEMY_LINE,11,1.4,0,MULTI_TARGET_LINE,TXT_SK_ARC_PIERCE_DESCRIPTION,CONFIRMED,TRUE
SK_ARC_HUNTER_EYE,JOB_ARCHER,TXT_SK_ARC_HUNTER_EYE_NAME,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,TXT_SK_ARC_HUNTER_EYE_DESCRIPTION,CONFIRMED,TRUE
SK_MAG_FIRE_BURST,JOB_MAGE,TXT_SK_MAG_FIRE_BURST_NAME,ACTIVE,RANK_APPRENTICE,ENEMY_AREA,8,1.35,0,ENEMY_CLUSTER_2,TXT_SK_MAG_FIRE_BURST_DESCRIPTION,CONFIRMED,TRUE
SK_MAG_FROST_NOVA,JOB_MAGE,TXT_SK_MAG_FROST_NOVA_NAME,ACTIVE,RANK_REGULAR,ENEMY_AREA,14,0.9,0,ENEMY_NEAR_SELF,TXT_SK_MAG_FROST_NOVA_DESCRIPTION,CONFIRMED,TRUE
SK_MAG_MANA_FLOW,JOB_MAGE,TXT_SK_MAG_MANA_FLOW_NAME,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,TXT_SK_MAG_MANA_FLOW_DESCRIPTION,CONFIRMED,TRUE
SK_CLE_HEAL,JOB_CLERIC,TXT_SK_CLE_HEAL_NAME,ACTIVE,RANK_APPRENTICE,ALLY_LOW_HP,7,1.2,0,ALLY_HP_LT_75,TXT_SK_CLE_HEAL_DESCRIPTION,CONFIRMED,TRUE
SK_CLE_BARRIER,JOB_CLERIC,TXT_SK_CLE_BARRIER_NAME,ACTIVE,RANK_REGULAR,ALLY_LOW_HP,13,0.8,0,ALLY_HP_LT_55,TXT_SK_CLE_BARRIER_DESCRIPTION,CONFIRMED,TRUE
SK_CLE_BLESSING,JOB_CLERIC,TXT_SK_CLE_BLESSING_NAME,ACTIVE,RANK_SKILLED,ALLY_AREA,18,0,0,COMBAT_STARTED_OR_EXPIRED,TXT_SK_CLE_BLESSING_DESCRIPTION,CONFIRMED,TRUE
