pool_id,entry_no,result_type,result_id,grade_id,job_selection_type,job_selection_id,weight,status,enabled
TAVERN_TUTORIAL_FIRST,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_C,FIXED,JOB_WARRIOR,75,CONFIRMED,TRUE
TAVERN_TUTORIAL_FIRST,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_B,FIXED,JOB_WARRIOR,23,CONFIRMED,TRUE
TAVERN_L1,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_C,ALL,,75,TUNABLE,TRUE
TAVERN_L1,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_B,ALL,,23,TUNABLE,TRUE
TAVERN_L1,3,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_A,ALL,,2,TUNABLE,TRUE
TAVERN_L4,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_C,ALL,,30,TUNABLE,TRUE
TAVERN_L4,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_B,ALL,,48,TUNABLE,TRUE
TAVERN_L4,3,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_A,ALL,,22,TUNABLE,TRUE
SPECIAL_STANDARD_TICKET,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_A,ALL,,82,TUNABLE,TRUE
SPECIAL_STANDARD_TICKET,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_S,ALL,,16,TUNABLE,TRUE
SPECIAL_STANDARD_TICKET,3,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_SS,ALL,,2,TUNABLE,TRUE
SPECIAL_STANDARD_FREE_PREMIUM,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_A,ALL,,82,TUNABLE,TRUE
SPECIAL_STANDARD_FREE_PREMIUM,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_S,ALL,,16,TUNABLE,TRUE
SPECIAL_STANDARD_FREE_PREMIUM,3,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_SS,ALL,,2,TUNABLE,TRUE
SPECIAL_STANDARD_PAID_PREMIUM,1,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_A,ALL,,82,TUNABLE,TRUE
SPECIAL_STANDARD_PAID_PREMIUM,2,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_S,ALL,,16,TUNABLE,TRUE
SPECIAL_STANDARD_PAID_PREMIUM,3,GENERATED_MERCENARY,GEN_MERC_STANDARD_V1,GRADE_SS,ALL,,2,TUNABLE,TRUE
