asset_id,address,asset_type,width_px,height_px,pivot_x,pivot_y,pixels_per_unit,facility_id,state_variant,status,enabled
ASSET_FAC_TAVERN_PLACEHOLDER_V1,P04/Kingdom/FAC_TAVERN,PREFAB,256,256,0.5,0.1,100,FAC_TAVERN,BASE,CONFIRMED,TRUE
ASSET_FAC_LODGE_PLACEHOLDER_V1,P04/Kingdom/FAC_LODGE,PREFAB,256,256,0.5,0.1,100,FAC_LODGE,BASE,CONFIRMED,TRUE
ASSET_FAC_GUILD_PLACEHOLDER_V1,P04/Kingdom/FAC_GUILD,PREFAB,256,256,0.5,0.1,100,FAC_GUILD,BASE,CONFIRMED,TRUE
ASSET_FAC_STORE_PLACEHOLDER_V1,P04/Kingdom/FAC_STORE,PREFAB,256,256,0.5,0.1,100,FAC_STORE,BASE,CONFIRMED,TRUE
ASSET_FAC_BLACKSMITH_PLACEHOLDER_V1,P04/Kingdom/FAC_BLACKSMITH,PREFAB,256,256,0.5,0.1,100,FAC_BLACKSMITH,BASE,CONFIRMED,TRUE
ASSET_FAC_ALCHEMY_PLACEHOLDER_V1,P04/Kingdom/FAC_ALCHEMY,PREFAB,256,256,0.5,0.1,100,FAC_ALCHEMY,BASE,CONFIRMED,TRUE
ASSET_FAC_WAREHOUSE_PLACEHOLDER_V1,P04/Kingdom/FAC_WAREHOUSE,PREFAB,256,256,0.5,0.1,100,FAC_WAREHOUSE,BASE,CONFIRMED,TRUE
ASSET_FAC_INFIRMARY_PLACEHOLDER_V1,P04/Kingdom/FAC_INFIRMARY,PREFAB,256,256,0.5,0.1,100,FAC_INFIRMARY,BASE,CONFIRMED,TRUE
ASSET_KINGDOM_BACKGROUND_V1,P04/Kingdom/Background,SPRITE,1920,1080,0.5,0.5,100,,BACKGROUND,CONFIRMED,TRUE
ASSET_FACILITY_PLOT_V1,P04/Kingdom/Plot,SPRITE,256,192,0.5,0.5,100,,PLOT,CONFIRMED,TRUE
ASSET_FACILITY_LOCKED_V1,P04/Kingdom/Locked,SPRITE,256,256,0.5,0.5,100,,LOCKED,CONFIRMED,TRUE
ASSET_FACILITY_CONSTRUCTION_V1,P04/Kingdom/Construction,SPRITE,256,256,0.5,0.5,100,,CONSTRUCTION,CONFIRMED,TRUE
ASSET_FACILITY_STOPPED_V1,P04/Kingdom/Stopped,SPRITE,64,64,0.5,0.5,100,,STOPPED,CONFIRMED,TRUE
