condition_group_id,member_no,member_type,condition_id,child_group_id,negate,status,enabled
COND_GRP_KINGDOM_1_UNLOCK,1,CONDITION,COND_ALWAYS_TRUE,,FALSE,CONFIRMED,TRUE
COND_GRP_KINGDOM_2_UNLOCK,1,CONDITION,COND_FACILITY_UPGRADE_COUNT_3,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_2_UNLOCK,2,CONDITION,COND_REGION_R02_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_3_UNLOCK,1,CONDITION,COND_MON_R02_ELITE_OGRE_KILL_1,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_3_UNLOCK,2,CONDITION,COND_REGULAR_OR_HIGHER_6,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_4_UNLOCK,1,CONDITION,COND_RAID_HYDRA_CLEAR_1,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_4_UNLOCK,2,CONDITION,COND_ELITE_OR_HIGHER_4,,FALSE,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,1,CONDITION,COND_REGION_R01_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,2,CONDITION,COND_REGION_R02_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,3,CONDITION,COND_REGION_R03_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,4,CONDITION,COND_REGION_R04_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_ALL_REGIONS_UNLOCKED,5,CONDITION,COND_REGION_R05_UNLOCKED,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,1,CONDITION,COND_FAC_TAVERN_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,2,CONDITION,COND_FAC_LODGE_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,3,CONDITION,COND_FAC_GUILD_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,4,CONDITION,COND_FAC_STORE_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,5,CONDITION,COND_FAC_BLACKSMITH_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,6,CONDITION,COND_FAC_ALCHEMY_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,7,CONDITION,COND_FAC_WAREHOUSE_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_CORE_FACILITIES_L4,8,CONDITION,COND_FAC_INFIRMARY_LEVEL_4,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_5_UNLOCK,1,GROUP,,COND_GRP_ALL_REGIONS_UNLOCKED,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_5_UNLOCK,2,CONDITION,COND_HERO_OR_HIGHER_4,,FALSE,TUNABLE,TRUE
COND_GRP_KINGDOM_5_UNLOCK,3,GROUP,,COND_GRP_CORE_FACILITIES_L4,FALSE,TUNABLE,TRUE
COND_GRP_REGION_R01_UNLOCK,1,CONDITION,COND_ALWAYS_TRUE,,FALSE,CONFIRMED,TRUE
COND_GRP_REGION_R02_UNLOCK,1,CONDITION,COND_TUT_09_COMPLETED,,FALSE,CONFIRMED,TRUE
COND_GRP_REGION_R03_UNLOCK,1,CONDITION,COND_MON_R02_ELITE_OGRE_KILL_1,,FALSE,CONFIRMED,TRUE
COND_GRP_REGION_R04_UNLOCK,1,CONDITION,COND_FAC_ALCHEMY_LEVEL_2,,FALSE,CONFIRMED,TRUE
COND_GRP_REGION_R04_UNLOCK,2,CONDITION,COND_MON_R03_ELITE_GUARDIAN_KILL_1,,FALSE,CONFIRMED,TRUE
COND_GRP_REGION_R05_UNLOCK,1,CONDITION,COND_RAID_HYDRA_CLEAR_1,,FALSE,CONFIRMED,TRUE
COND_GRP_RAID_HYDRA_UNLOCK,1,CONDITION,COND_REGION_R04_PROGRESS_100,,FALSE,TUNABLE,TRUE
COND_GRP_RAID_DRAGON_UNLOCK,1,CONDITION,COND_KINGDOM_5_REACHED,,FALSE,TUNABLE,TRUE
COND_GRP_HYDRA_HEAD_BREAK,1,CONDITION,COND_HYDRA_HEAD_BREAK,,FALSE,TUNABLE,TRUE
COND_GRP_HYDRA_BODY_BREAK,1,CONDITION,COND_HYDRA_BODY_BREAK,,FALSE,TUNABLE,TRUE
COND_GRP_HYDRA_HEART_EXPOSED,1,CONDITION,COND_HYDRA_HEART_EXPOSED,,FALSE,TUNABLE,TRUE
COND_GRP_DRAGON_HORN_BREAK,1,CONDITION,COND_DRAGON_HORN_BREAK,,FALSE,TUNABLE,TRUE
COND_GRP_DRAGON_WING_BREAK,1,CONDITION,COND_DRAGON_WING_BREAK,,FALSE,TUNABLE,TRUE
COND_GRP_DRAGON_BODY_BREAK,1,CONDITION,COND_DRAGON_BODY_BREAK,,FALSE,TUNABLE,TRUE
COND_GRP_DRAGON_HEART_EXPOSED,1,CONDITION,COND_DRAGON_HEART_EXPOSED,,FALSE,TUNABLE,TRUE
