recipe_id,material_no,item_id,quantity,status,enabled
REC_EQ_T1_WARRIOR_WEAPON,1,MAT_R01_SOFTWOOD,4,TUNABLE,TRUE
REC_EQ_T1_WARRIOR_WEAPON,2,MAT_R01_WOLF_FANG,2,TUNABLE,TRUE
REC_EQ_T1_GUARDIAN_WEAPON,1,MAT_R01_SOFTWOOD,4,TUNABLE,TRUE
REC_EQ_T1_GUARDIAN_WEAPON,2,MAT_R01_WOLF_FANG,2,TUNABLE,TRUE
REC_EQ_T1_ARCHER_WEAPON,1,MAT_R01_SOFTWOOD,4,TUNABLE,TRUE
REC_EQ_T1_ARCHER_WEAPON,2,MAT_R01_WOLF_FANG,2,TUNABLE,TRUE
REC_EQ_T1_MAGE_WEAPON,1,MAT_R01_MEADOW_CRYSTAL,3,TUNABLE,TRUE
REC_EQ_T1_MAGE_WEAPON,2,MAT_R01_SOFTWOOD,3,TUNABLE,TRUE
REC_EQ_T1_CLERIC_WEAPON,1,MAT_R01_MEADOW_CRYSTAL,3,TUNABLE,TRUE
REC_EQ_T1_CLERIC_WEAPON,2,MAT_R01_SOFTWOOD,3,TUNABLE,TRUE
REC_EQ_T1_HEAVY_ARMOR,1,MAT_R01_BOAR_HIDE,5,TUNABLE,TRUE
REC_EQ_T1_HEAVY_ARMOR,2,MAT_R01_SOFTWOOD,3,TUNABLE,TRUE
REC_EQ_T1_HEAVY_HELMET,1,MAT_R01_BOAR_HIDE,3,TUNABLE,TRUE
REC_EQ_T1_HEAVY_HELMET,2,MAT_R01_WOLF_FANG,1,TUNABLE,TRUE
REC_EQ_T1_LIGHT_ARMOR,1,MAT_R01_BOAR_HIDE,5,TUNABLE,TRUE
REC_EQ_T1_LIGHT_ARMOR,2,MAT_R01_SOFTWOOD,3,TUNABLE,TRUE
REC_EQ_T1_LIGHT_HELMET,1,MAT_R01_BOAR_HIDE,3,TUNABLE,TRUE
REC_EQ_T1_LIGHT_HELMET,2,MAT_R01_WOLF_FANG,1,TUNABLE,TRUE
REC_EQ_T1_CLOTH_ARMOR,1,MAT_R01_MEADOW_CRYSTAL,5,TUNABLE,TRUE
REC_EQ_T1_CLOTH_ARMOR,2,MAT_R01_SOFTWOOD,3,TUNABLE,TRUE
REC_EQ_T1_CLOTH_HELMET,1,MAT_R01_MEADOW_CRYSTAL,3,TUNABLE,TRUE
REC_EQ_T1_CLOTH_HELMET,2,MAT_R01_WOLF_FANG,1,TUNABLE,TRUE
REC_EQ_T1_POWER_ACCESSORY,1,MAT_R01_SOFTWOOD,2,TUNABLE,TRUE
