reward_group_id,entry_no,reward_type,reward_id,quantity,probability,weight,status,enabled
REWARD_RAID_HYDRA_FIRST_CLEAR,1,REGION_UNLOCK,REGION_R05,1,,,CONFIRMED,TRUE
REWARD_RAID_DRAGON_FIRST_CLEAR,1,PROGRESSION_FLAG,FLAG_V1_ENDING,1,,,CONFIRMED,TRUE
REWARD_RAID_DRAGON_FIRST_CLEAR,2,PROGRESSION_FLAG,FLAG_RAID_DRAGON_VARIANTS,1,,,CONFIRMED,TRUE
REWARD_HYDRA_HEAD_BREAK,1,ITEM,MAT_BOSS_HYDRA_VENOM,1,,,TUNABLE,TRUE
REWARD_HYDRA_BODY_BREAK,1,ITEM,MAT_BOSS_HYDRA_SCALE,1,,,TUNABLE,TRUE
REWARD_HYDRA_HEART_EXPOSED,1,ITEM,MAT_BOSS_HYDRA_HEART,1,,,TUNABLE,TRUE
REWARD_DRAGON_HORN_BREAK,1,ITEM,MAT_BOSS_DRAGON_HORN,1,,,TUNABLE,TRUE
REWARD_DRAGON_WING_BREAK,1,ITEM,MAT_BOSS_ASH_CORE,1,,,TUNABLE,TRUE
REWARD_DRAGON_BODY_BREAK,1,ITEM,MAT_BOSS_DRAGON_SCALE,1,,,TUNABLE,TRUE
REWARD_DRAGON_HEART_EXPOSED,1,ITEM,MAT_BOSS_DRAGON_HEART,1,,,TUNABLE,TRUE
REWARD_RAID_HYDRA_NORMAL_REPEAT,1,ITEM,MAT_BOSS_HYDRA_VENOM,1,,,TUNABLE,TRUE
REWARD_RAID_HYDRA_HARD_REPEAT,1,ITEM,MAT_BOSS_HYDRA_SCALE,2,,,TUNABLE,TRUE
REWARD_RAID_HYDRA_CORRUPTED_REPEAT,1,ITEM,MAT_BOSS_HYDRA_HEART,1,,,TUNABLE,TRUE
REWARD_RAID_DRAGON_NORMAL_REPEAT,1,ITEM,MAT_BOSS_DRAGON_HORN,1,,,TUNABLE,TRUE
REWARD_RAID_DRAGON_HARD_REPEAT,1,ITEM,MAT_BOSS_DRAGON_SCALE,2,,,TUNABLE,TRUE
REWARD_RAID_DRAGON_CORRUPTED_REPEAT,1,ITEM,MAT_BOSS_DRAGON_HEART,1,,,TUNABLE,TRUE
