key,value,unit,description,status
OFFLINE_MAX_HOURS,8,HOURS,오프라인 정산 상한,TUNABLE
OFFLINE_HUNT_EFFICIENCY,0.75,RATIO,온라인 대비 기본 효율,TUNABLE
EQUIPMENT_UPGRADE_THRESHOLD,0.05,RATIO,자동 교체 최소 개선,TUNABLE
RARE_EQUIPMENT_AUTO_PROTECT,1,BOOL,희귀 이상 자동 보호,TUNABLE
DISMANTLE_ENHANCE_REFUND,0.7,RATIO,강화 재료 환급,TUNABLE
STORE_PRICE_LOW,0.9,RATIO,저가 정책,TUNABLE
STORE_PRICE_STANDARD,1.0,RATIO,표준 정책,TUNABLE
STORE_PRICE_HIGH,1.15,RATIO,고가 정책,TUNABLE
INVENTORY_RETURN_THRESHOLD,0.9,RATIO,귀환 임계치,TUNABLE
DEFAULT_HP_RETURN_THRESHOLD,0.3,RATIO,기본 귀환 체력,TUNABLE
ACTIVE_MERC_CAP_V1,16,COUNT,1.0 활동 상한,TUNABLE
ROSTER_CAP_V1,24,COUNT,1.0 보유 상한,TUNABLE
RAID_PARTY_MIN,6,COUNT,레이드 최소,TUNABLE
RAID_PARTY_MAX,8,COUNT,레이드 최대,TUNABLE
