target_level,success_chance,stone_item_id,stone_qty,gold_cost,fail_pity_increment,destroy_on_fail,downrank_on_fail,status
1,1.0,MAT_ENHANCE_1,1,100,0,0,0,TUNABLE
2,1.0,MAT_ENHANCE_1,1,400,0,0,0,TUNABLE
3,1.0,MAT_ENHANCE_1,1,900,0,0,0,TUNABLE
4,1.0,MAT_ENHANCE_1,1,1600,0,0,0,TUNABLE
5,1.0,MAT_ENHANCE_2,1,2500,0,0,0,TUNABLE
6,0.85,MAT_ENHANCE_2,2,3600,0.05,0,0,TUNABLE
7,0.72,MAT_ENHANCE_2,2,4900,0.06,0,0,TUNABLE
8,0.6,MAT_ENHANCE_3,3,6400,0.07,0,0,TUNABLE
9,0.48,MAT_ENHANCE_3,3,8100,0.08,0,0,TUNABLE
10,0.38,MAT_ENHANCE_3,4,10000,0.1,0,0,TUNABLE
