equipment_id,name_ko,tier,slot,allowed_jobs,profile,base_power,source,boss_id,status
EQ_T1_WARRIOR_WEAPON,개척자의 검,1,WEAPON,JOB_WARRIOR,SWORD,100,CRAFT,,TUNABLE
EQ_T1_GUARDIAN_WEAPON,개척자의 수호 철퇴,1,WEAPON,JOB_GUARDIAN,HAMMER_SHIELD,100,CRAFT,,TUNABLE
EQ_T1_ARCHER_WEAPON,개척자의 활,1,WEAPON,JOB_ARCHER,BOW,100,CRAFT,,TUNABLE
EQ_T1_MAGE_WEAPON,개척자의 지팡이,1,WEAPON,JOB_MAGE,STAFF,100,CRAFT,,TUNABLE
EQ_T1_CLERIC_WEAPON,개척자의 성직 철퇴,1,WEAPON,JOB_CLERIC,MACE,100,CRAFT,,TUNABLE
EQ_T1_HEAVY_ARMOR,개척자의 중갑,1,ARMOR,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,90,CRAFT,,TUNABLE
EQ_T1_HEAVY_HELMET,개척자의 중갑 투구,1,HELMET,JOB_WARRIOR|JOB_GUARDIAN,HEAVY,55,CRAFT,,TUNABLE
EQ_T1_LIGHT_ARMOR,개척자의 경갑,1,ARMOR,JOB_ARCHER,LIGHT,90,CRAFT,,TUNABLE
EQ_T1_LIGHT_HELMET,개척자의 경갑 투구,1,HELMET,JOB_ARCHER,LIGHT,55,CRAFT,,TUNABLE
EQ_T1_CLOTH_ARMOR,개척자의 로브,1,ARMOR,JOB_MAGE|JOB_CLERIC,CLOTH,90,CRAFT,,TUNABLE
EQ_T1_CLOTH_HELMET,개척자의 로브 투구,1,HELMET,JOB_MAGE|JOB_CLERIC,CLOTH,55,CRAFT,,TUNABLE
EQ_T1_POWER_ACCESSORY,개척자의 힘의 부적,1,ACCESSORY,JOB_WARRIOR|JOB_ARCHER,POWER,45,CRAFT,,TUNABLE
EQ_T1_GUARD_ACCESSORY,개척자의 수호 부적,1,ACCESSORY,JOB_GUARDIAN,GUARD,45,CRAFT,,TUNABLE
