facility_id,name_ko,level,required_kingdom_stage,assigned_npc_profession,build_or_upgrade_gold,materials_json,effect_summary,status
FAC_TAVERN,주점,1,KINGDOM_1,SYSTEM_TAVERN,0,{},"후보 3명, C/B/A",TUNABLE
FAC_TAVERN,주점,2,KINGDOM_2,SYSTEM_TAVERN,2500,"{""MAT_R02_DARKWOOD"":10}","후보 4명, B/A 확률 증가",TUNABLE
FAC_TAVERN,주점,3,KINGDOM_3,SYSTEM_TAVERN,12000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}","후보 5명, A 확률 증가",TUNABLE
FAC_TAVERN,주점,4,KINGDOM_4,SYSTEM_TAVERN,45000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}","후보 잠금 2칸, 최고 A 확률",TUNABLE
FAC_LODGE,용병 숙소,1,KINGDOM_1,NONE,0,{},활동 4/보유 8,TUNABLE
FAC_LODGE,용병 숙소,2,KINGDOM_2,NONE,3000,"{""MAT_R02_DARKWOOD"":10}",활동 8/보유 12,TUNABLE
FAC_LODGE,용병 숙소,3,KINGDOM_3,NONE,15000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",활동 12/보유 18,TUNABLE
FAC_LODGE,용병 숙소,4,KINGDOM_4,NONE,60000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",활동 16/보유 24,TUNABLE
FAC_GUILD,모험가 길드,1,KINGDOM_1,SYSTEM_GUILD,0,{},정식 승급,TUNABLE
FAC_GUILD,모험가 길드,2,KINGDOM_2,SYSTEM_GUILD,4000,"{""MAT_R02_DARKWOOD"":10}",숙련 승급·지역 정책,TUNABLE
FAC_GUILD,모험가 길드,3,KINGDOM_3,SYSTEM_GUILD,18000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",정예 승급·레이드 준비,TUNABLE
FAC_GUILD,모험가 길드,4,KINGDOM_4,SYSTEM_GUILD,70000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",영웅·전설 승급,TUNABLE
FAC_STORE,상점,1,KINGDOM_1,NPC_MERCHANT,500,{},기본 매입·판매,TUNABLE
FAC_STORE,상점,2,KINGDOM_2,NPC_MERCHANT,3500,"{""MAT_R02_DARKWOOD"":10}",가격 정책·재고 목표,TUNABLE
FAC_STORE,상점,3,KINGDOM_3,NPC_MERCHANT,16000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",희귀 장비 취급,TUNABLE
FAC_STORE,상점,4,KINGDOM_4,NPC_MERCHANT,65000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",보스 장비 진열,TUNABLE
FAC_BLACKSMITH,대장간,1,KINGDOM_1,NPC_BLACKSMITH,800,{},T1 제작·분해,TUNABLE
FAC_BLACKSMITH,대장간,2,KINGDOM_2,NPC_BLACKSMITH,5000,"{""MAT_R02_DARKWOOD"":10}",T2·강화 +5,TUNABLE
FAC_BLACKSMITH,대장간,3,KINGDOM_3,NPC_BLACKSMITH,24000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",T3/T4·강화 +8·제련,TUNABLE
FAC_BLACKSMITH,대장간,4,KINGDOM_4,NPC_BLACKSMITH,85000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",T5·보스 장비·강화 +10,TUNABLE
FAC_ALCHEMY,연금술 공방,1,KINGDOM_1,NPC_ALCHEMIST,1000,{},하급 포션,TUNABLE
FAC_ALCHEMY,연금술 공방,2,KINGDOM_2,NPC_ALCHEMIST,6000,"{""MAT_R02_DARKWOOD"":10}",중급·해독제,TUNABLE
FAC_ALCHEMY,연금술 공방,3,KINGDOM_3,NPC_ALCHEMIST,28000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",상급·저항약,TUNABLE
FAC_ALCHEMY,연금술 공방,4,KINGDOM_4,NPC_ALCHEMIST,90000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",레이드 포션,TUNABLE
FAC_WAREHOUSE,창고,1,KINGDOM_1,NONE,700,{},용량 200,TUNABLE
FAC_WAREHOUSE,창고,2,KINGDOM_2,NONE,4000,"{""MAT_R02_DARKWOOD"":10}",용량 500·예약 재고,TUNABLE
FAC_WAREHOUSE,창고,3,KINGDOM_3,NONE,19000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",용량 1200,TUNABLE
FAC_WAREHOUSE,창고,4,KINGDOM_4,NONE,75000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",용량 3000·필터,TUNABLE
FAC_INFIRMARY,치료소,1,KINGDOM_1,NPC_HEALER,1000,{},기본 치료,TUNABLE
FAC_INFIRMARY,치료소,2,KINGDOM_2,NPC_HEALER,5500,"{""MAT_R02_DARKWOOD"":10}",치료 시간 -15%,TUNABLE
FAC_INFIRMARY,치료소,3,KINGDOM_3,NPC_HEALER,26000,"{""MAT_R03_IRON_ORE"":15,""MAT_R03_COAL"":8}",상태 이상 치료,TUNABLE
FAC_INFIRMARY,치료소,4,KINGDOM_4,NPC_HEALER,82000,"{""MAT_R04_BOG_CRYSTAL"":12,""MAT_R04_TROLL_HIDE"":8}",치료 시간 -35%,TUNABLE
