key,ko,context,status
UI_NAV_KINGDOM,왕국,CORE,CONFIRMED
UI_NAV_MERCENARY,용병,CORE,CONFIRMED
UI_NAV_CRAFT,제작,CORE,CONFIRMED
UI_NAV_REGION,지역,CORE,CONFIRMED
UI_NAV_RECRUIT,모집,CORE,CONFIRMED
UI_NAV_MENU,메뉴,CORE,CONFIRMED
UI_STATE_LOADING,불러오는 중입니다.,CORE,CONFIRMED
UI_STATE_EMPTY,표시할 내용이 없습니다.,CORE,CONFIRMED
UI_STATE_ERROR,처리 중 문제가 발생했습니다.,CORE,CONFIRMED
UI_STATE_OFFLINE,오프라인 상태입니다.,CORE,CONFIRMED
UI_PROMOTION_READY,승급 가능,CORE,CONFIRMED
UI_FACILITY_STOP_MATERIAL,재료 부족으로 생산이 중단되었습니다.,CORE,CONFIRMED
UI_FACILITY_STOP_NPC,담당 NPC가 없어 시설이 멈췄습니다.,CORE,CONFIRMED
UI_REGION_LOCK_RANK,용병 성장 랭크가 부족합니다.,CORE,CONFIRMED
UI_RECRUIT_ROSTER_FULL,용병 보유 슬롯이 부족합니다.,CORE,CONFIRMED
UI_RAID_ROLE_WARNING,권장 역할이 부족합니다.,CORE,CONFIRMED
NARRATIVE_OPENING_1,몬스터의 침공으로 왕국은 폐허가 되었다.,CORE,CONFIRMED
NARRATIVE_OPENING_2,마지막 거점을 복구하고 용병과 장인을 모아야 한다.,CORE,CONFIRMED
NARRATIVE_FINAL_CLEAR,왕국은 다시 세워졌지만 세계의 위협은 아직 끝나지 않았다.,CORE,CONFIRMED
