loot_table_id,reward_type,reward_id,chance,min_qty,max_qty,condition,status
LOOT_R01_1,MATERIAL,MAT_R01_SOFTWOOD,0.75,1,2,,TUNABLE
LOOT_R01_1,MATERIAL,MAT_R01_SLIME_GEL,0.22,1,1,,TUNABLE
LOOT_R01_1,RANDOM_EQUIPMENT_TIER,1,0.025,1,1,,TUNABLE
LOOT_R01_2,MATERIAL,MAT_R01_WILD_HERB,0.75,1,2,,TUNABLE
LOOT_R01_2,MATERIAL,MAT_R01_WOLF_FANG,0.22,1,1,,TUNABLE
LOOT_R01_2,RANDOM_EQUIPMENT_TIER,1,0.025,1,1,,TUNABLE
LOOT_R01_3,MATERIAL,MAT_R01_SLIME_GEL,0.75,1,2,,TUNABLE
LOOT_R01_3,MATERIAL,MAT_R01_BOAR_HIDE,0.22,1,1,,TUNABLE
LOOT_R01_3,RANDOM_EQUIPMENT_TIER,1,0.025,1,1,,TUNABLE
LOOT_R01_4,MATERIAL,MAT_R01_WOLF_FANG,0.75,1,2,,TUNABLE
LOOT_R01_4,MATERIAL,MAT_R01_MEADOW_CRYSTAL,0.22,1,1,,TUNABLE
LOOT_R01_4,RANDOM_EQUIPMENT_TIER,1,0.025,1,1,,TUNABLE
LOOT_R01_ELITE,MATERIAL,MAT_R01_BOAR_HIDE,1.0,2,4,,TUNABLE
LOOT_R01_ELITE,MATERIAL,MAT_R01_MEADOW_CRYSTAL,0.65,1,2,,TUNABLE
LOOT_R01_ELITE,RANDOM_EQUIPMENT_TIER,1,0.18,1,1,,TUNABLE
LOOT_R01_ELITE,MATERIAL,MAT_PROMO_BRONZE_EMBLEM,0.2,1,1,,TUNABLE
LOOT_R02_1,MATERIAL,MAT_R02_DARKWOOD,0.75,1,2,,TUNABLE
LOOT_R02_1,MATERIAL,MAT_R02_SPIDER_SILK,0.22,1,1,,TUNABLE
LOOT_R02_1,RANDOM_EQUIPMENT_TIER,2,0.025,1,1,,TUNABLE
LOOT_R02_2,MATERIAL,MAT_R02_MOONLEAF,0.75,1,2,,TUNABLE
LOOT_R02_2,MATERIAL,MAT_R02_VENOM_SAC,0.22,1,1,,TUNABLE
LOOT_R02_2,RANDOM_EQUIPMENT_TIER,2,0.025,1,1,,TUNABLE
LOOT_R02_3,MATERIAL,MAT_R02_SPIDER_SILK,0.75,1,2,,TUNABLE
LOOT_R02_3,MATERIAL,MAT_R02_FOREST_CORE,0.22,1,1,,TUNABLE
LOOT_R02_3,RANDOM_EQUIPMENT_TIER,2,0.025,1,1,,TUNABLE
LOOT_R02_4,MATERIAL,MAT_R02_VENOM_SAC,0.75,1,2,,TUNABLE
LOOT_R02_4,MATERIAL,MAT_R02_OGRE_BONE,0.22,1,1,,TUNABLE
LOOT_R02_4,RANDOM_EQUIPMENT_TIER,2,0.025,1,1,,TUNABLE
LOOT_R02_ELITE,MATERIAL,MAT_R02_FOREST_CORE,1.0,2,4,,TUNABLE
LOOT_R02_ELITE,MATERIAL,MAT_R02_OGRE_BONE,0.65,1,2,,TUNABLE
LOOT_R02_ELITE,RANDOM_EQUIPMENT_TIER,2,0.18,1,1,,TUNABLE
LOOT_R02_ELITE,MATERIAL,MAT_PROMO_SILVER_BADGE,0.2,1,1,,TUNABLE
LOOT_R03_1,MATERIAL,MAT_R03_IRON_ORE,0.75,1,2,,TUNABLE
LOOT_R03_1,MATERIAL,MAT_R03_COAL,0.22,1,1,,TUNABLE
LOOT_R03_1,RANDOM_EQUIPMENT_TIER,3,0.025,1,1,,TUNABLE
LOOT_R03_2,MATERIAL,MAT_R03_SILVER_ORE,0.75,1,2,,TUNABLE
LOOT_R03_2,MATERIAL,MAT_R03_BAT_WING,0.22,1,1,,TUNABLE
LOOT_R03_2,RANDOM_EQUIPMENT_TIER,3,0.025,1,1,,TUNABLE
LOOT_R03_3,MATERIAL,MAT_R03_COAL,0.75,1,2,,TUNABLE
LOOT_R03_3,MATERIAL,MAT_R03_GOLEM_FRAGMENT,0.22,1,1,,TUNABLE
LOOT_R03_3,RANDOM_EQUIPMENT_TIER,3,0.025,1,1,,TUNABLE
LOOT_R03_4,MATERIAL,MAT_R03_BAT_WING,0.75,1,2,,TUNABLE
LOOT_R03_4,MATERIAL,MAT_R03_ANCIENT_GEAR,0.22,1,1,,TUNABLE
LOOT_R03_4,RANDOM_EQUIPMENT_TIER,3,0.025,1,1,,TUNABLE
LOOT_R03_ELITE,MATERIAL,MAT_R03_GOLEM_FRAGMENT,1.0,2,4,,TUNABLE
LOOT_R03_ELITE,MATERIAL,MAT_R03_ANCIENT_GEAR,0.65,1,2,,TUNABLE
LOOT_R03_ELITE,RANDOM_EQUIPMENT_TIER,3,0.18,1,1,,TUNABLE
LOOT_R03_ELITE,MATERIAL,MAT_PROMO_ELITE_SIGIL,0.2,1,1,,TUNABLE
LOOT_R04_1,MATERIAL,MAT_R04_SWAMP_REED,0.75,1,2,,TUNABLE
LOOT_R04_1,MATERIAL,MAT_R04_MIASMA_MOSS,0.22,1,1,,TUNABLE
LOOT_R04_1,RANDOM_EQUIPMENT_TIER,4,0.025,1,1,,TUNABLE
LOOT_R04_2,MATERIAL,MAT_R04_TOXIC_GLAND,0.75,1,2,,TUNABLE
LOOT_R04_2,MATERIAL,MAT_R04_WITCHWATER,0.22,1,1,,TUNABLE
LOOT_R04_2,RANDOM_EQUIPMENT_TIER,4,0.025,1,1,,TUNABLE
LOOT_R04_3,MATERIAL,MAT_R04_MIASMA_MOSS,0.75,1,2,,TUNABLE
LOOT_R04_3,MATERIAL,MAT_R04_BOG_CRYSTAL,0.22,1,1,,TUNABLE
LOOT_R04_3,RANDOM_EQUIPMENT_TIER,4,0.025,1,1,,TUNABLE
LOOT_R04_4,MATERIAL,MAT_R04_WITCHWATER,0.75,1,2,,TUNABLE
LOOT_R04_4,MATERIAL,MAT_R04_TROLL_HIDE,0.22,1,1,,TUNABLE
LOOT_R04_4,RANDOM_EQUIPMENT_TIER,4,0.025,1,1,,TUNABLE
LOOT_R04_ELITE,MATERIAL,MAT_R04_BOG_CRYSTAL,1.0,2,4,,TUNABLE
LOOT_R04_ELITE,MATERIAL,MAT_R04_TROLL_HIDE,0.65,1,2,,TUNABLE
LOOT_R04_ELITE,RANDOM_EQUIPMENT_TIER,4,0.18,1,1,,TUNABLE
LOOT_R05_1,MATERIAL,MAT_R05_FROST_ORE,0.75,1,2,,TUNABLE
LOOT_R05_1,MATERIAL,MAT_R05_WRAITH_DUST,0.22,1,1,,TUNABLE
LOOT_R05_1,RANDOM_EQUIPMENT_TIER,5,0.025,1,1,,TUNABLE
LOOT_R05_2,MATERIAL,MAT_R05_ICE_BLOOM,0.75,1,2,,TUNABLE
LOOT_R05_2,MATERIAL,MAT_R05_YETI_FUR,0.22,1,1,,TUNABLE
LOOT_R05_2,RANDOM_EQUIPMENT_TIER,5,0.025,1,1,,TUNABLE
LOOT_R05_3,MATERIAL,MAT_R05_WRAITH_DUST,0.75,1,2,,TUNABLE
LOOT_R05_3,MATERIAL,MAT_R05_ANCIENT_RUNE,0.22,1,1,,TUNABLE
LOOT_R05_3,RANDOM_EQUIPMENT_TIER,5,0.025,1,1,,TUNABLE
LOOT_R05_4,MATERIAL,MAT_R05_YETI_FUR,0.75,1,2,,TUNABLE
LOOT_R05_4,MATERIAL,MAT_R05_FROZEN_CORE,0.22,1,1,,TUNABLE
LOOT_R05_4,RANDOM_EQUIPMENT_TIER,5,0.025,1,1,,TUNABLE
LOOT_R05_ELITE,MATERIAL,MAT_R05_ANCIENT_RUNE,1.0,2,4,,TUNABLE
LOOT_R05_ELITE,MATERIAL,MAT_R05_FROZEN_CORE,0.65,1,2,,TUNABLE
LOOT_R05_ELITE,RANDOM_EQUIPMENT_TIER,5,0.18,1,1,,TUNABLE
LOOT_RAID_HYDRA,MATERIAL,MAT_BOSS_HYDRA_SCALE,1,2,4,BODY_BREAK,TUNABLE
LOOT_RAID_HYDRA,MATERIAL,MAT_BOSS_HYDRA_HEART,0.55,1,1,HEART_EXPOSED,TUNABLE
LOOT_RAID_HYDRA,MATERIAL,MAT_BOSS_HYDRA_VENOM,0.9,1,3,HEAD_BREAK,TUNABLE
LOOT_RAID_HYDRA,MATERIAL,MAT_BOSS_HYDRA_FANG,0.65,1,2,HEAD_BREAK,TUNABLE
LOOT_RAID_HYDRA,MATERIAL,MAT_PROMO_HERO_CREST,0.5,1,1,CLEAR,TUNABLE
LOOT_RAID_DRAGON,MATERIAL,MAT_BOSS_DRAGON_HORN,0.75,1,2,HORN_BREAK,TUNABLE
LOOT_RAID_DRAGON,MATERIAL,MAT_BOSS_DRAGON_SCALE,1,2,5,BODY_BREAK,TUNABLE
LOOT_RAID_DRAGON,MATERIAL,MAT_BOSS_DRAGON_HEART,0.45,1,1,HEART_EXPOSED,TUNABLE
LOOT_RAID_DRAGON,MATERIAL,MAT_BOSS_ASH_CORE,0.8,1,3,WING_BREAK,TUNABLE
LOOT_RAID_DRAGON,MATERIAL,MAT_PROMO_LEGEND_CREST,0.65,1,1,CLEAR,TUNABLE
