item_id,name_ko,category,tier,source_region,base_value,rarity,primary_uses,stack_limit,status
MAT_R01_SOFTWOOD,부드러운 목재,CRAFT,1,REGION_R01,6,COMMON,EQUIPMENT|FACILITY,9999,TUNABLE
MAT_R01_WILD_HERB,들풀 약초,ALCHEMY,1,REGION_R01,5,COMMON,POTION,9999,TUNABLE
MAT_R01_SLIME_GEL,슬라임 젤,ALCHEMY,1,REGION_R01,8,COMMON,POTION|REFINE,9999,TUNABLE
MAT_R01_WOLF_FANG,늑대 송곳니,MONSTER,1,REGION_R01,12,COMMON,EQUIPMENT|REFINE,9999,TUNABLE
MAT_R01_BOAR_HIDE,멧돼지 가죽,CRAFT,1,REGION_R01,10,COMMON,ARMOR,9999,TUNABLE
MAT_R01_MEADOW_CRYSTAL,초원 결정,MAGIC,1,REGION_R01,18,COMMON,ACCESSORY|REFINE,9999,TUNABLE
MAT_R02_DARKWOOD,어둠목,CRAFT,2,REGION_R02,18,COMMON,EQUIPMENT|FACILITY,9999,TUNABLE
MAT_R02_MOONLEAF,달빛잎,ALCHEMY,2,REGION_R02,16,COMMON,POTION,9999,TUNABLE
MAT_R02_SPIDER_SILK,거미 비단,CRAFT,2,REGION_R02,22,COMMON,ARMOR|HELMET,9999,TUNABLE
MAT_R02_VENOM_SAC,독주머니,MONSTER,2,REGION_R02,28,COMMON,POTION|REFINE,9999,TUNABLE
MAT_R02_FOREST_CORE,숲의 핵,MAGIC,2,REGION_R02,35,COMMON,EQUIPMENT|REFINE,9999,TUNABLE
MAT_R02_OGRE_BONE,오우거 뼈,MONSTER,2,REGION_R02,40,COMMON,WEAPON|PROMOTION,9999,TUNABLE
MAT_R03_IRON_ORE,철광석,ORE,3,REGION_R03,32,COMMON,EQUIPMENT|ENHANCE,9999,TUNABLE
MAT_R03_SILVER_ORE,은광석,ORE,3,REGION_R03,48,COMMON,EQUIPMENT|ACCESSORY,9999,TUNABLE
MAT_R03_COAL,고열 석탄,CRAFT,3,REGION_R03,24,COMMON,EQUIPMENT|FACILITY,9999,TUNABLE
MAT_R03_BAT_WING,동굴 박쥐 날개,MONSTER,3,REGION_R03,35,COMMON,POTION|REFINE,9999,TUNABLE
MAT_R03_GOLEM_FRAGMENT,골렘 파편,MONSTER,3,REGION_R03,55,COMMON,ARMOR|ENHANCE,9999,TUNABLE
MAT_R03_ANCIENT_GEAR,고대 톱니,RELIC,3,REGION_R03,70,RARE,FACILITY|ACCESSORY,9999,TUNABLE
