monster_id,region_id,name_ko,type,level,hp,attack,defense,xp,bounty_gold,loot_table_id,behavior_tag,spawn_weight,raid_id,status
MON_R01_SLIME,REGION_R01,초원 슬라임,NORMAL,11,131,12,3,18,7,LOOT_R01_1,MELEE,24,,TUNABLE
MON_R01_WOLF,REGION_R01,회색 늑대,NORMAL,12,144,13,4,18,7,LOOT_R01_2,MELEE,24,,TUNABLE
MON_R01_BOAR,REGION_R01,들멧돼지,NORMAL,13,156,14,4,18,7,LOOT_R01_3,MELEE,24,,TUNABLE
MON_R01_GOBLIN,REGION_R01,떠돌이 고블린,NORMAL,14,168,15,5,18,7,LOOT_R01_4,MELEE,24,,TUNABLE
MON_R01_ELITE_DIRE_WOLF,REGION_R01,광포한 늑대,ELITE,18,450,28,10,80,35,LOOT_R01_ELITE,ELITE,4,,TUNABLE
MON_R02_SPIDER,REGION_R02,그늘 거미,NORMAL,21,290,26,8,39,15,LOOT_R02_1,MELEE,24,,TUNABLE
MON_R02_TREANT,REGION_R02,어린 트렌트,NORMAL,22,316,29,9,39,15,LOOT_R02_2,MELEE,24,,TUNABLE
MON_R02_SHAMAN,REGION_R02,고블린 주술사,NORMAL,23,343,32,10,39,15,LOOT_R02_3,RANGED,24,,TUNABLE
MON_R02_LIZARD,REGION_R02,숲도마뱀,NORMAL,24,369,34,11,39,15,LOOT_R02_4,MELEE,24,,TUNABLE
MON_R02_ELITE_OGRE,REGION_R02,숲 오우거 족장,ELITE,28,990,61,22,176,77,LOOT_R02_ELITE,ELITE,4,,TUNABLE
MON_R03_BAT,REGION_R03,철광 박쥐,NORMAL,31,567,52,16,77,30,LOOT_R03_1,MELEE,24,,TUNABLE
MON_R03_CRAWLER,REGION_R03,동굴 포식자,NORMAL,32,619,57,18,77,30,LOOT_R03_2,MELEE,24,,TUNABLE
MON_R03_GOLEM,REGION_R03,철 골렘,NORMAL,33,670,62,20,77,30,LOOT_R03_3,MELEE,24,,TUNABLE
MON_R03_MINER,REGION_R03,망령 광부,NORMAL,34,722,67,21,77,30,LOOT_R03_4,MELEE,24,,TUNABLE
MON_R03_ELITE_GUARDIAN,REGION_R03,광산 수호자,ELITE,38,1935,120,43,344,150,LOOT_R03_ELITE,ELITE,4,,TUNABLE
MON_R04_FROG,REGION_R04,맹독 개구리,NORMAL,41,1003,92,29,136,53,LOOT_R04_1,MELEE,24,,TUNABLE
MON_R04_WITCH,REGION_R04,늪지 마녀,NORMAL,42,1094,101,32,136,53,LOOT_R04_2,RANGED,24,,TUNABLE
MON_R04_PLAGUE_BEAST,REGION_R04,역병 마수,NORMAL,43,1185,110,35,136,53,LOOT_R04_3,MELEE,24,,TUNABLE
MON_R04_TROLL,REGION_R04,늪 트롤,NORMAL,44,1276,120,38,136,53,LOOT_R04_4,MELEE,24,,TUNABLE
MON_R04_ELITE_HYDRA_SPAWN,REGION_R04,히드라 유생,ELITE,48,3420,212,76,608,266,LOOT_R04_ELITE,ELITE,4,,TUNABLE
MON_R05_ICE_WOLF,REGION_R05,빙설 늑대,NORMAL,51,1649,152,48,225,87,LOOT_R05_1,MELEE,24,,TUNABLE
MON_R05_WRAITH,REGION_R05,서리 망령,NORMAL,52,1800,167,53,225,87,LOOT_R05_2,MELEE,24,,TUNABLE
MON_R05_YETI,REGION_R05,설인,NORMAL,53,1950,182,58,225,87,LOOT_R05_3,MELEE,24,,TUNABLE
MON_R05_RUNE_SENTINEL,REGION_R05,룬 파수병,NORMAL,54,2100,197,63,225,87,LOOT_R05_4,MELEE,24,,TUNABLE
MON_R05_ELITE_FROST_GIANT,REGION_R05,서리 거인,ELITE,58,5625,350,125,1000,437,LOOT_R05_ELITE,ELITE,4,,TUNABLE
BOSS_HYDRA,REGION_R04,역병 히드라,RAID,58,65000,950,320,8000,4000,LOOT_RAID_HYDRA,POISON_MULTIHEAD,0,RAID_HYDRA,TUNABLE
BOSS_DRAGON,REGION_R05,잿빛 고룡,RAID,75,180000,1850,650,25000,12000,LOOT_RAID_DRAGON,FIRE_FLYING_PARTS,0,RAID_DRAGON,TUNABLE
