recipe_id,name_ko,facility_id,facility_level,npc_proficiency,output_type,output_id,output_qty,ingredients_json,craft_seconds,quality_roll,status
REC_EQ_T1_WARRIOR_WEAPON,개척자의 검,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_WARRIOR_WEAPON,1,"{""MAT_R01_SOFTWOOD"":4,""MAT_R01_WOLF_FANG"":2}",20,1,TUNABLE
REC_EQ_T1_GUARDIAN_WEAPON,개척자의 수호 철퇴,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_GUARDIAN_WEAPON,1,"{""MAT_R01_SOFTWOOD"":4,""MAT_R01_WOLF_FANG"":2}",20,1,TUNABLE
REC_EQ_T1_ARCHER_WEAPON,개척자의 활,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_ARCHER_WEAPON,1,"{""MAT_R01_SOFTWOOD"":4,""MAT_R01_WOLF_FANG"":2}",20,1,TUNABLE
REC_EQ_T1_MAGE_WEAPON,개척자의 지팡이,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_MAGE_WEAPON,1,"{""MAT_R01_SOFTWOOD"":3,""MAT_R01_MEADOW_CRYSTAL"":3}",20,1,TUNABLE
REC_EQ_T1_CLERIC_WEAPON,개척자의 성직 철퇴,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_CLERIC_WEAPON,1,"{""MAT_R01_SOFTWOOD"":3,""MAT_R01_MEADOW_CRYSTAL"":3}",20,1,TUNABLE
REC_EQ_T1_HEAVY_ARMOR,개척자의 중갑,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_HEAVY_ARMOR,1,"{""MAT_R01_BOAR_HIDE"":5,""MAT_R01_SOFTWOOD"":3}",18,1,TUNABLE
REC_EQ_T1_HEAVY_HELMET,개척자의 중갑 투구,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_HEAVY_HELMET,1,"{""MAT_R01_BOAR_HIDE"":3,""MAT_R01_WOLF_FANG"":1}",14,1,TUNABLE
REC_EQ_T1_LIGHT_ARMOR,개척자의 경갑,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_LIGHT_ARMOR,1,"{""MAT_R01_BOAR_HIDE"":5,""MAT_R01_SOFTWOOD"":3}",18,1,TUNABLE
REC_EQ_T1_LIGHT_HELMET,개척자의 경갑 투구,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_LIGHT_HELMET,1,"{""MAT_R01_BOAR_HIDE"":3,""MAT_R01_WOLF_FANG"":1}",14,1,TUNABLE
REC_EQ_T1_CLOTH_ARMOR,개척자의 로브,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_CLOTH_ARMOR,1,"{""MAT_R01_MEADOW_CRYSTAL"":5,""MAT_R01_SOFTWOOD"":3}",18,1,TUNABLE
REC_EQ_T1_CLOTH_HELMET,개척자의 로브 투구,FAC_BLACKSMITH,1,NPC_APPRENTICE,EQUIPMENT,EQ_T1_CLOTH_HELMET,1,"{""MAT_R01_MEADOW_CRYSTAL"":3,""MAT_R01_WOLF_FANG"":1}",14,1,TUNABLE
