refine_id,name_ko,option_group,stat_key,min_value,max_value,material_item_id,material_qty,gold_cost,status
REF_ATK_POWER,공격력 증가,ATTACK,ATTACK_PERCENT,0.03,0.12,MAT_R01_WOLF_FANG,1,2500,TUNABLE
REF_CRIT,치명타 확률,ATTACK,CRIT_CHANCE,0.02,0.08,MAT_R01_WOLF_FANG,1,2500,TUNABLE
REF_DEF,방어력 증가,DEFENSE,DEFENSE_PERCENT,0.04,0.15,MAT_R03_GOLEM_FRAGMENT,1,2500,TUNABLE
REF_HP,최대 체력 증가,DEFENSE,HP_PERCENT,0.04,0.16,MAT_R04_TROLL_HIDE,1,2500,TUNABLE
REF_MATERIAL,재료 추가 획득,COLLECTION,MATERIAL_BONUS,0.02,0.08,MAT_R01_SLIME_GEL,1,2500,TUNABLE
REF_RARE_FIND,희귀 재료 발견,COLLECTION,RARE_FIND,0.01,0.05,MAT_R03_ANCIENT_GEAR,1,2500,TUNABLE
REF_FIRE,화염 피해,ELEMENT,FIRE_DAMAGE,0.04,0.15,MAT_BOSS_ASH_CORE,1,2500,TUNABLE
REF_FROST,빙결 저항,ELEMENT,FROST_RESIST,0.06,0.2,MAT_R05_FROZEN_CORE,1,2500,TUNABLE
REF_POISON,독 피해·저항,ELEMENT,POISON_POWER,0.05,0.18,MAT_R04_TOXIC_GLAND,1,2500,TUNABLE
REF_BOSS,보스 피해,BOSS,BOSS_DAMAGE,0.03,0.12,MAT_BOSS_HYDRA_HEART,1,2500,TUNABLE
REF_PART,부위 파괴 피해,BOSS,PART_DAMAGE,0.04,0.15,MAT_BOSS_DRAGON_HORN,1,2500,TUNABLE
