skill_id,job_id,name_ko,kind,unlock_rank,target,cooldown_sec,power_coeff,resource_cost,condition,description,status
SK_WAR_HEAVY_SLASH,JOB_WARRIOR,강타,ACTIVE,RANK_APPRENTICE,ENEMY_SINGLE,6,1.6,0,TARGET_IN_MELEE,대상에게 강한 물리 피해,CONFIRMED
SK_WAR_BATTLE_RUSH,JOB_WARRIOR,전투 돌진,ACTIVE,RANK_REGULAR,ENEMY_SINGLE,12,1.2,0,DISTANCE_GT_2,대상에게 돌진하고 짧게 경직,CONFIRMED
SK_WAR_TENACITY,JOB_WARRIOR,강인함,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,체력이 낮을수록 피해 감소,CONFIRMED
SK_GUA_TAUNT,JOB_GUARDIAN,방패 도발,ACTIVE,RANK_APPRENTICE,ENEMY_AREA,10,0.5,0,ENEMY_NEAR_ALLY,주변 적의 위협도를 집중,CONFIRMED
SK_GUA_FORTRESS,JOB_GUARDIAN,요새 태세,ACTIVE,RANK_REGULAR,SELF,15,0,0,HP_LT_70,일정 시간 방어력 증가,CONFIRMED
SK_GUA_GUARD_MARK,JOB_GUARDIAN,수호 표식,PASSIVE,RANK_SKILLED,ALLY_LOW_HP,0,0,0,ALLY_HP_LT_50,낮은 체력 아군 피해 일부 대신 받음,CONFIRMED
SK_ARC_QUICK_SHOT,JOB_ARCHER,속사,ACTIVE,RANK_APPRENTICE,ENEMY_SINGLE,5,1.25,0,TARGET_IN_RANGE,빠른 원거리 공격,CONFIRMED
SK_ARC_PIERCE,JOB_ARCHER,관통 화살,ACTIVE,RANK_REGULAR,ENEMY_LINE,11,1.4,0,MULTI_TARGET_LINE,직선상의 적 관통,CONFIRMED
SK_ARC_HUNTER_EYE,JOB_ARCHER,사냥꾼의 눈,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,정예·보스 약점 피해 증가,CONFIRMED
SK_MAG_FIRE_BURST,JOB_MAGE,화염 폭발,ACTIVE,RANK_APPRENTICE,ENEMY_AREA,8,1.35,0,ENEMY_CLUSTER_2,범위 화염 피해,CONFIRMED
SK_MAG_FROST_NOVA,JOB_MAGE,서리 파동,ACTIVE,RANK_REGULAR,ENEMY_AREA,14,0.9,0,ENEMY_NEAR_SELF,범위 피해와 이동 둔화,CONFIRMED
SK_MAG_MANA_FLOW,JOB_MAGE,마력 순환,PASSIVE,RANK_SKILLED,SELF,0,0,0,ALWAYS,스킬 재사용 대기시간 소폭 감소,CONFIRMED
SK_CLE_HEAL,JOB_CLERIC,치유,ACTIVE,RANK_APPRENTICE,ALLY_LOW_HP,7,1.2,0,ALLY_HP_LT_75,가장 체력이 낮은 아군 회복,CONFIRMED
SK_CLE_BARRIER,JOB_CLERIC,보호막,ACTIVE,RANK_REGULAR,ALLY_LOW_HP,13,0.8,0,ALLY_HP_LT_55,피해 흡수 보호막,CONFIRMED
SK_CLE_BLESSING,JOB_CLERIC,축복,ACTIVE,RANK_SKILLED,ALLY_AREA,18,0,0,COMBAT_STARTED_OR_EXPIRED,공격·방어 보조 버프,CONFIRMED
