trait_id,name_ko,category,effect_key,effect_value,applicable_jobs,description,status
TRAIT_STRONG,완력,STAT,STR_PERCENT,0.06,ALL,힘이 증가한다.,TUNABLE
TRAIT_STURDY,튼튼함,STAT,HP_PERCENT,0.08,ALL,최대 체력이 증가한다.,TUNABLE
TRAIT_KEEN_EYE,예리한 눈,COMBAT,CRIT_CHANCE,0.04,JOB_ARCHER|JOB_WARRIOR,치명타 확률이 증가한다.,TUNABLE
TRAIT_ARCANE,마력 친화,COMBAT,MAGIC_DAMAGE,0.07,JOB_MAGE|JOB_CLERIC,마법·신성 효과가 증가한다.,TUNABLE
TRAIT_LUCKY,행운아,COLLECTION,RARE_FIND,0.03,ALL,희귀 재료 발견 확률이 증가한다.,TUNABLE
TRAIT_SCAVENGER,수집가,COLLECTION,MATERIAL_BONUS,0.05,ALL,재료 추가 획득 확률이 증가한다.,TUNABLE
TRAIT_BOSS_HUNTER,거수 사냥꾼,BOSS,BOSS_DAMAGE,0.06,ALL,보스 피해가 증가한다.,TUNABLE
TRAIT_POISON_RESIST,독 내성,RESIST,POISON_RESIST,0.12,ALL,독 피해와 지속시간이 감소한다.,TUNABLE
TRAIT_FROSTBORN,설원의 자식,RESIST,FROST_RESIST,0.12,ALL,빙결 피해와 둔화가 감소한다.,TUNABLE
TRAIT_SURVIVOR,생존 본능,AI,RETURN_HP_BONUS,0.08,ALL,더 안전한 시점에 귀환한다.,TUNABLE
